size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
20,0.3,runtime_ms,astar,90,0.26646333507313913,0.08484444535699566,0.18161888971614348,-214.06102538823245,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,path_length,astar,90,nan,11.009849278622385,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,turn_count,astar,90,nan,4.0,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,runtime_ms,weighted_astar,90,0.26646333507313913,0.055164442164823364,0.21129889290831577,-383.0345864406374,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,path_length,weighted_astar,90,nan,11.132206982053718,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,turn_count,weighted_astar,90,nan,3.9444444444444446,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,runtime_ms,jps_like,90,0.26646333507313913,0.3305499991660731,-0.06408666409293395,19.387888142373246,0.27294541091781643,0,0.28481260269685194,0
20,0.3,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,runtime_ms,dijkstra,90,0.26646333507313913,0.41928666695538497,-0.15282333188224584,36.44841201175312,0.0023995200959808036,1,0.002678534060629734,1
20,0.3,path_length,dijkstra,90,nan,11.009849278622385,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.3,turn_count,dijkstra,90,nan,3.7555555555555555,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,runtime_ms,astar,90,0.016488889296953,0.02512666978873307,-0.00863778049178007,34.37694117209792,0.016796640671865627,1,0.018323608005671593,1
20,0.7,path_length,astar,90,nan,6.170582005183301,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,turn_count,astar,90,nan,2.8222222222222224,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,runtime_ms,weighted_astar,90,0.016488889296953,0.021764445571332294,-0.005275556274379294,24.239332249878924,0.15276944611077783,0,0.16295407585149638,0
20,0.7,path_length,weighted_astar,90,nan,6.170582005183301,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,turn_count,weighted_astar,90,nan,2.8,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,runtime_ms,jps_like,90,0.016488889296953,0.016733333985838587,-0.0002444446888855874,1.4608247770137188,0.9322135572885423,0,0.9322135572885423,0
20,0.7,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,runtime_ms,dijkstra,90,0.016488889296953,0.0425622248763425,-0.0260733355793895,61.259334198673265,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,path_length,dijkstra,90,nan,6.170582005183301,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
20,0.7,turn_count,dijkstra,90,nan,2.8,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,runtime_ms,astar,90,0.9857322221958182,0.32584888879985857,0.6598833333959597,-202.51207110952288,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,path_length,astar,90,nan,25.108993889760985,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,turn_count,astar,90,nan,9.033333333333333,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,runtime_ms,weighted_astar,90,0.9857322221958182,0.1570700008111695,0.8286622213846487,-527.5751047973008,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,path_length,weighted_astar,90,nan,25.504335398691474,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,turn_count,weighted_astar,90,nan,9.28888888888889,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,runtime_ms,jps_like,90,0.9857322221958182,1.4168688872208197,-0.4311366650250015,30.428832823810087,0.03519296140771846,1,0.037960947136415416,1
40,0.3,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,runtime_ms,dijkstra,90,0.9857322221958182,2.0108955550111003,-1.025163332815282,50.98043656522096,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,path_length,dijkstra,90,nan,25.108993889760985,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.3,turn_count,dijkstra,90,nan,8.61111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,runtime_ms,astar,90,0.023471109387982175,0.04269222327921948,-0.019221113891237308,45.02251795491105,0.0003999200159968006,1,0.0004625580907914802,1
40,0.7,path_length,astar,90,nan,9.213470409820212,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,turn_count,astar,90,nan,4.111111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,runtime_ms,weighted_astar,90,0.023471109387982175,0.04025444375454547,-0.016783334366563294,41.693122053557495,0.0015996800639872025,1,0.0018282057874139455,1
40,0.7,path_length,weighted_astar,90,nan,9.213470409820212,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,turn_count,weighted_astar,90,nan,4.144444444444445,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,runtime_ms,jps_like,90,0.023471109387982175,0.025556667242199137,-0.002085557854216963,8.160523570824964,0.5622875424915017,0,0.5804258503138082,0
40,0.7,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,runtime_ms,dijkstra,90,0.023471109387982175,0.06866111103186587,-0.04519000164388369,65.81600700127157,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,path_length,dijkstra,90,nan,9.213470409820212,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
40,0.7,turn_count,dijkstra,90,nan,4.177777777777778,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,runtime_ms,astar,90,3.082075555317311,0.7483566655234123,2.3337188897938987,-311.8458079292525,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,path_length,astar,90,nan,42.002769730530844,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,turn_count,astar,90,nan,13.633333333333333,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,runtime_ms,weighted_astar,90,3.082075555317311,0.2545122222121184,2.8275633331051924,-1110.9734960974147,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,path_length,weighted_astar,90,nan,42.860773576203435,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,turn_count,weighted_astar,90,nan,14.911111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,runtime_ms,jps_like,90,3.082075555317311,4.52618888779802,-1.4441133324807094,31.9057239606999,0.17016596680663867,0,0.17951574520260785,0
80,0.3,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,runtime_ms,dijkstra,90,3.082075555317311,6.630721109751095,-3.548645554433784,53.51824478359026,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,path_length,dijkstra,90,nan,42.002769730530844,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.3,turn_count,dijkstra,90,nan,13.61111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,runtime_ms,astar,90,0.024573333212174437,0.04881666617519736,-0.02424333296302292,49.66200042423301,0.0003999200159968006,1,0.0004625580907914802,1
80,0.7,path_length,astar,90,nan,9.984085288257186,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,turn_count,astar,90,nan,4.811111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,runtime_ms,weighted_astar,90,0.024573333212174437,0.04294999881595781,-0.018376665603783374,42.786184191827346,0.0023995200959808036,1,0.002678534060629734,1
80,0.7,path_length,weighted_astar,90,nan,9.984085288257186,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,turn_count,weighted_astar,90,nan,4.811111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,runtime_ms,jps_like,90,0.024573333212174437,0.02628444280061453,-0.0017111095884400941,6.509970941442549,0.6946610677864428,0,0.708843494459003,0
80,0.7,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,runtime_ms,dijkstra,90,0.024573333212174437,0.09062888728092525,-0.06605555406875081,72.88576087665768,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,path_length,dijkstra,90,nan,9.984085288257186,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
80,0.7,turn_count,dijkstra,90,nan,4.8,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,runtime_ms,astar,90,4.293059999407786,1.309372220809261,2.983687778598525,-227.87162666048073,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,path_length,astar,90,nan,61.034752239967496,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,turn_count,astar,90,nan,19.866666666666667,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,runtime_ms,weighted_astar,90,4.293059999407786,0.3408477777459969,3.952212221661789,-1159.524127690519,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,path_length,weighted_astar,90,nan,62.73643413263107,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,turn_count,weighted_astar,90,nan,22.81111111111111,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,runtime_ms,jps_like,90,4.293059999407786,7.83720666788415,-3.5441466684763636,45.22206468026184,0.002599480103979204,1,0.0028683918388736043,1
100,0.3,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,runtime_ms,dijkstra,90,4.293059999407786,12.959300000026511,-8.666240000618725,66.87274776107502,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,path_length,dijkstra,90,nan,61.034752239967496,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.3,turn_count,dijkstra,90,nan,20.233333333333334,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,runtime_ms,astar,90,0.02206444332841779,0.06047444249917232,-0.03840999917075453,63.514432847033234,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,path_length,astar,90,nan,11.650368756197114,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,turn_count,astar,90,nan,5.6,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,runtime_ms,weighted_astar,90,0.02206444332841779,0.04990555365414665,-0.027841110325728863,55.78759934950755,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,path_length,weighted_astar,90,nan,11.650368756197114,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,turn_count,weighted_astar,90,nan,5.588888888888889,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,runtime_ms,jps_like,90,0.02206444332841779,0.023638887796550944,-0.001574444468133155,6.660399937948333,0.7014597080583883,0,0.708843494459003,0
100,0.7,path_length,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,turn_count,jps_like,90,nan,nan,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,runtime_ms,dijkstra,90,0.02206444332841779,0.10930444566636446,-0.08724000233794668,79.81377317829669,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,path_length,dijkstra,90,nan,11.650368756197114,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
100,0.7,turn_count,dijkstra,90,nan,5.566666666666666,nan,nan,0.0001999600079984003,1,0.00023698963910921518,1
