algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,seed_tag
improved_astar,1,4.47213595499958,0.0,0.0406000181101262,5,random_generated,20,0.3,12,12,seed42
dijkstra,1,14.242640687119286,5.0,0.7363999902736396,250,random_generated,20,0.3,13,13,seed42
astar,1,14.242640687119286,5.0,0.0951999973040074,24,random_generated,20,0.3,13,13,seed42
weighted_astar,1,15.071067811865476,7.0,0.0711000175215303,18,random_generated,20,0.3,13,13,seed42
jps_like,1,16.242640687119284,8.0,0.4103000101167708,48,random_generated,20,0.3,13,13,seed42
improved_astar,1,14.646461980895667,3.0,0.2105000021401792,22,random_generated,20,0.3,13,13,seed42
dijkstra,1,16.899494936611667,6.0,0.731800013454631,266,random_generated,20,0.3,14,14,seed42
astar,1,16.899494936611667,6.0,0.0943999912124127,25,random_generated,20,0.3,14,14,seed42
weighted_astar,1,16.899494936611667,8.0,0.0604000233579427,15,random_generated,20,0.3,14,14,seed42
jps_like,1,22.07106781186548,12.0,0.6257999921217561,90,random_generated,20,0.3,14,14,seed42
improved_astar,1,19.364084996010927,4.0,0.4860000044573098,69,random_generated,20,0.3,14,14,seed42
dijkstra,1,10.485281374238571,3.0,0.4567000141832977,157,random_generated,20,0.3,15,15,seed42
astar,1,10.485281374238571,4.0,0.0754000211600214,17,random_generated,20,0.3,15,15,seed42
weighted_astar,1,10.485281374238571,4.0,0.0396000104956328,9,random_generated,20,0.3,15,15,seed42
jps_like,1,11.65685424949238,5.0,0.1925000105984509,25,random_generated,20,0.3,15,15,seed42
improved_astar,1,10.219544457292889,1.0,0.177599984453991,19,random_generated,20,0.3,15,15,seed42
dijkstra,1,13.071067811865476,8.0,0.5614999972749501,192,random_generated,20,0.3,16,16,seed42
astar,1,13.071067811865476,8.0,0.076900003477931,20,random_generated,20,0.3,16,16,seed42
weighted_astar,1,13.071067811865476,8.0,0.0481999886687845,13,random_generated,20,0.3,16,16,seed42
jps_like,1,24.242640687119287,13.0,0.5227999936323613,79,random_generated,20,0.3,16,16,seed42
improved_astar,1,22.106514158872866,6.0,0.4045999958179891,60,random_generated,20,0.3,16,16,seed42
dijkstra,1,8.0,0.0,0.1421000051777809,49,random_generated,20,0.3,17,17,seed42
astar,1,8.0,0.0,0.0391000066883862,9,random_generated,20,0.3,17,17,seed42
weighted_astar,1,8.0,0.0,0.0356000091414898,9,random_generated,20,0.3,17,17,seed42
jps_like,1,8.0,1.0,0.0736000074539333,9,random_generated,20,0.3,17,17,seed42
improved_astar,1,8.0,0.0,0.0346000015269964,4,random_generated,20,0.3,17,17,seed42
dijkstra,1,4.82842712474619,3.0,0.1687000039964914,48,random_generated,20,0.3,18,18,seed42
astar,1,4.82842712474619,3.0,0.02809998113662,6,random_generated,20,0.3,18,18,seed42
weighted_astar,1,4.82842712474619,3.0,0.0254999904427677,5,random_generated,20,0.3,18,18,seed42
jps_like,1,6.0,1.0,0.1194000069517642,13,random_generated,20,0.3,18,18,seed42
improved_astar,1,4.650281539872885,2.0,0.07410001126118,9,random_generated,20,0.3,18,18,seed42
dijkstra,1,17.899494936611667,7.0,0.4712000081781298,151,random_generated,20,0.3,19,19,seed42
astar,1,17.899494936611667,9.0,0.3313999914098531,43,random_generated,20,0.3,19,19,seed42
weighted_astar,1,17.899494936611667,9.0,0.2347999834455549,37,random_generated,20,0.3,19,19,seed42
jps_like,0,,,0.0109999964479357,2,random_generated,20,0.3,19,19,seed42
improved_astar,0,,,0.0084999774117022,2,random_generated,20,0.3,19,19,seed42
dijkstra,1,17.142135623730955,3.0,0.5444000125862658,194,random_generated,20,0.3,20,20,seed42
astar,1,17.142135623730955,5.0,0.081200007116422,19,random_generated,20,0.3,20,20,seed42
weighted_astar,1,17.142135623730955,5.0,0.0597999896854162,14,random_generated,20,0.3,20,20,seed42
