map_name,map_type,size,obstacle_ratio,alpha,run_id,algorithm,success,runtime_ms,path_length,turn_count,expanded_nodes
arena.map,dao,49,0.1445231153685964,1.8,0,dijkstra,1,0.11487599840620533,3.0,0,29
arena.map,dao,49,0.1445231153685964,1.8,0,astar,1,0.02690600376809016,3.0,0,4
arena.map,dao,49,0.1445231153685964,1.8,0,weighted_astar,1,0.02240199683001265,3.0,0,4
arena.map,dao,49,0.1445231153685964,1.8,0,improved_astar,1,0.020211002265568823,3.0,0,4
arena.map,dao,49,0.1445231153685964,1.8,0,ablation_no_adaptive,1,0.020872997993137687,3.0,0,4
arena.map,dao,49,0.1445231153685964,1.8,0,ablation_no_smoothing,1,0.019831000827252865,3.0,0,4
arena.map,dao,49,0.1445231153685964,1.8,1,dijkstra,1,0.052914001571480185,2.414213562373095,1,14
arena.map,dao,49,0.1445231153685964,1.8,1,astar,1,0.015967001672834158,2.414213562373095,1,3
arena.map,dao,49,0.1445231153685964,1.8,1,weighted_astar,1,0.01460000203223899,2.414213562373095,1,3
arena.map,dao,49,0.1445231153685964,1.8,1,improved_astar,1,0.015245997929014266,2.23606797749979,0,3
arena.map,dao,49,0.1445231153685964,1.8,1,ablation_no_adaptive,1,0.015577999874949455,2.23606797749979,0,3
arena.map,dao,49,0.1445231153685964,1.8,1,ablation_no_smoothing,1,0.014757999451830983,2.414213562373095,1,3
arena.map,dao,49,0.1445231153685964,1.8,2,dijkstra,1,0.05479199899127707,2.0,0,12
arena.map,dao,49,0.1445231153685964,1.8,2,astar,1,0.015650999557692558,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,2,weighted_astar,1,0.01461800275137648,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,2,improved_astar,1,0.014297998859547079,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,2,ablation_no_adaptive,1,0.015211997379083186,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,2,ablation_no_smoothing,1,0.013782999303657562,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,3,dijkstra,1,0.02648199733812362,1.4142135623730951,0,7
arena.map,dao,49,0.1445231153685964,1.8,3,astar,1,0.00883099710335955,1.4142135623730951,0,2
arena.map,dao,49,0.1445231153685964,1.8,3,weighted_astar,1,0.01373000122839585,1.4142135623730951,0,2
arena.map,dao,49,0.1445231153685964,1.8,3,improved_astar,1,0.008561000868212432,1.4142135623730951,0,2
arena.map,dao,49,0.1445231153685964,1.8,3,ablation_no_adaptive,1,0.008414994226768613,1.4142135623730951,0,2
arena.map,dao,49,0.1445231153685964,1.8,3,ablation_no_smoothing,1,0.008312003046739846,1.4142135623730951,0,2
arena.map,dao,49,0.1445231153685964,1.8,4,dijkstra,1,0.1850400003604591,3.82842712474619,1,43
arena.map,dao,49,0.1445231153685964,1.8,4,astar,1,0.026545996661297977,3.82842712474619,2,4
arena.map,dao,49,0.1445231153685964,1.8,4,weighted_astar,1,0.024320004740729928,3.8284271247461903,1,4
arena.map,dao,49,0.1445231153685964,1.8,4,improved_astar,1,0.022767999325878918,3.605551275463989,0,4
arena.map,dao,49,0.1445231153685964,1.8,4,ablation_no_adaptive,1,0.022868000087328255,3.605551275463989,0,4
arena.map,dao,49,0.1445231153685964,1.8,4,ablation_no_smoothing,1,0.023319997126236558,3.8284271247461903,1,4
arena.map,dao,49,0.1445231153685964,1.8,5,dijkstra,1,0.0268969961325638,2.0,0,8
arena.map,dao,49,0.1445231153685964,1.8,5,astar,1,0.012279997463338077,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,5,weighted_astar,1,0.011087999155279249,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,5,improved_astar,1,0.010632997145876288,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,5,ablation_no_adaptive,1,0.010839998139999807,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,5,ablation_no_smoothing,1,0.011124997399747372,2.0,0,3
arena.map,dao,49,0.1445231153685964,1.8,6,dijkstra,1,0.0814119994174689,2.414213562373095,1,18
arena.map,dao,49,0.1445231153685964,1.8,6,astar,1,0.020687002688646317,2.414213562373095,1,3
arena.map,dao,49,0.1445231153685964,1.8,6,weighted_astar,1,0.020536004740279168,2.414213562373095,1,3
arena.map,dao,49,0.1445231153685964,1.8,6,improved_astar,1,0.01879099727375433,2.23606797749979,0,3
arena.map,dao,49,0.1445231153685964,1.8,6,ablation_no_adaptive,1,0.019950995920225978,2.23606797749979,0,3
arena.map,dao,49,0.1445231153685964,1.8,6,ablation_no_smoothing,1,0.017738995666150004,2.414213562373095,1,3
arena.map,dao,49,0.1445231153685964,1.8,7,dijkstra,1,0.2287520037498325,3.82842712474619,1,41
arena.map,dao,49,0.1445231153685964,1.8,7,astar,1,0.026289002562407404,3.82842712474619,2,4
arena.map,dao,49,0.1445231153685964,1.8,7,weighted_astar,1,0.023223998141475022,3.8284271247461903,1,4
