size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
20,0.3,runtime_ms,astar,90,0.09213333283292333,0.0936055555939674,-0.0014722227610440702,1.5727942125893974,0.8878224355128974,0,0.9067122745663633,0
20,0.3,path_length,astar,90,10.200308403151414,11.009849278622385,-0.8095408754709705,7.352878817722243,0.33633273345330933,0,0.39796918665047476,0
20,0.3,turn_count,astar,90,2.077777777777778,4.0,-1.922222222222222,48.05555555555555,0.0001999600079984003,1,0.000639872025594881,1
20,0.3,runtime_ms,weighted_astar,90,0.09213333283292333,0.06316555518424134,0.028967777648681983,-45.86008555483878,0.001799640071985603,1,0.005081336673841703,1
20,0.3,path_length,weighted_astar,90,10.200308403151414,11.132206982053718,-0.9318985789023042,8.37119342466972,0.27494501099780044,0,0.36575084983003403,0
20,0.3,turn_count,weighted_astar,90,2.077777777777778,3.9444444444444446,-1.8666666666666667,47.32394366197183,0.0001999600079984003,1,0.000639872025594881,1
20,0.3,runtime_ms,jps_like,90,0.09213333283292333,0.16550444367264086,-0.07337111083971753,44.331807177843366,0.0001999600079984003,1,0.000639872025594881,1
20,0.3,path_length,jps_like,90,10.200308403151414,11.009849278622385,-0.8095408754709705,7.352878817722243,0.33993201359728054,0,0.39796918665047476,0
20,0.3,turn_count,jps_like,90,2.077777777777778,3.9555555555555557,-1.8777777777777778,47.47191011235955,0.0001999600079984003,1,0.000639872025594881,1
20,0.3,runtime_ms,dijkstra,90,0.09213333283292333,0.4505977758930789,-0.35846444306015557,79.553087529046,0.0001999600079984003,1,0.000639872025594881,1
20,0.3,path_length,dijkstra,90,10.200308403151414,11.009849278622385,-0.8095408754709705,7.352878817722243,0.34753049390121976,0,0.4019629808977963,0
20,0.3,turn_count,dijkstra,90,2.077777777777778,3.7555555555555555,-1.6777777777777776,44.674556213017745,0.0001999600079984003,1,0.000639872025594881,1
20,0.7,runtime_ms,astar,90,0.04438000113522215,0.030375555312881823,0.014004445822340325,-46.104328556591845,0.10417916416716656,0,0.18183999563723618,0
20,0.7,path_length,astar,90,5.405172850579312,6.170582005183301,-0.7654091546039892,12.404164695664752,0.28494301139772044,0,0.36575084983003403,0
20,0.7,turn_count,astar,90,1.7333333333333334,2.8222222222222224,-1.088888888888889,38.58267716535433,0.008398320335932814,1,0.015212051929236794,1
20,0.7,runtime_ms,weighted_astar,90,0.04438000113522215,0.025518888853386823,0.018861112281835325,-73.91039786331493,0.003999200159968006,1,0.008346156855585405,1
20,0.7,path_length,weighted_astar,90,5.405172850579312,6.170582005183301,-0.7654091546039892,12.404164695664752,0.28574285142971406,0,0.36575084983003403,0
20,0.7,turn_count,weighted_astar,90,1.7333333333333334,2.8,-1.0666666666666664,38.09523809523809,0.00639872025594881,1,0.012285542891421714,1
