map_name,map_type,size,obstacle_ratio,alpha,run_id,algorithm,success,runtime_ms,path_length,turn_count,expanded_nodes
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,0,dijkstra,1,0.028299997211433947,2.0,1,8
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,0,astar,1,0.011300002370262519,2.0,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,0,weighted_astar,1,0.010199997632298619,2.0,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,0,improved_astar,1,0.022100000933278352,1.4142135623730951,0,2
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,0,ablation_no_adaptive,1,0.011399999493733048,1.4142135623730951,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,0,ablation_no_smoothing,1,0.0104000027931761,2.0,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,1,dijkstra,1,0.1340000017080456,3.0,0,28
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,1,astar,1,0.020600000425474718,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,1,weighted_astar,1,0.0197000008483883,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,1,improved_astar,1,0.037099998735357076,3.0,0,2
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,1,ablation_no_adaptive,1,0.020800001948373392,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,1,ablation_no_smoothing,1,0.04890000127488747,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,2,dijkstra,1,0.046700002712896094,2.414213562373095,1,12
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,2,astar,1,0.011299998732283711,2.414213562373095,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,2,weighted_astar,1,0.010399999155197293,2.414213562373095,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,2,improved_astar,1,0.040400002035312355,2.23606797749979,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,2,ablation_no_adaptive,1,0.0121000011858996,2.23606797749979,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,2,ablation_no_smoothing,1,0.010600000678095967,2.414213562373095,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,3,dijkstra,1,0.05059999966761097,2.0,0,12
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,3,astar,1,0.013800003216601908,2.0,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,3,weighted_astar,1,0.013200002285884693,2.0,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,3,improved_astar,1,0.03809999907389283,2.0,0,2
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,3,ablation_no_adaptive,1,0.03699999797390774,2.0,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,3,ablation_no_smoothing,1,0.019500002963468432,2.0,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,4,dijkstra,1,0.12100000094505958,3.0,0,28
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,4,astar,1,0.02090000270982273,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,4,weighted_astar,1,0.019499999325489625,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,4,improved_astar,1,0.03859999924316071,3.0,0,2
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,4,ablation_no_adaptive,1,0.0213999992411118,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,4,ablation_no_smoothing,1,0.019899998733308166,3.0,0,4
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,5,dijkstra,1,0.07389999882434495,2.414213562373095,1,18
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,5,astar,1,0.014400000509340316,2.414213562373095,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,5,weighted_astar,1,0.01469999915570952,2.414213562373095,1,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,5,improved_astar,1,0.06330000178422779,2.23606797749979,0,3
Berlin_0_256.map,street,256,0.2653350830078125,1.326761787577056,5,ablation_no_adaptive,1,0.015300000086426735,2.23606797749979,0,3
