map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
random_generated,20,0.3,dijkstra,30,1,0.43030666517249,0.2840513670574665,11.177768149424699,3.8333333333333335,136.63333333333333
random_generated,20,0.3,astar,30,1,0.09353333152830601,0.07679565949070652,11.177768149424699,4,22.7
random_generated,20,0.3,weighted_astar,30,1,0.05354666500352323,0.032148717121732236,11.343453574373937,3.9,13.2
random_generated,20,0.3,jps_like,30,0.7333333333333333,0.44528332946356386,0.5355118771568687,12.361514491171548,5,67.53333333333333
random_generated,20,0.3,improved_astar,30,0.7333333333333333,0.3847966678828622,0.5462036990670633,11.258950134205175,2.0454545454545454,59.233333333333334
random_generated,20,0.7,dijkstra,30,1,0.04498000198509544,0.0274084946766826,6.478342947514801,3.066666666666667,14.633333333333333
random_generated,20,0.7,astar,30,1,0.024809999740682542,0.016787816957362398,6.478342947514801,3.066666666666667,7.766666666666667
random_generated,20,0.7,weighted_astar,30,1,0.02131999838942041,0.015285015798676584,6.478342947514801,3.066666666666667,7.333333333333333
random_generated,20,0.7,jps_like,30,0.16666666666666666,0.01568000006955117,0.024669704438017845,1.965685424949238,0.4,3.533333333333333
random_generated,20,0.7,improved_astar,30,0.16666666666666666,0.01677000060832749,0.026028512665471234,1.915298244508295,0,3.533333333333333
random_generated,40,0.3,dijkstra,30,1,1.7428866674890742,0.8940419897808056,23.01983403845388,7.2,565.9666666666667
random_generated,40,0.3,astar,30,1,0.26129333515806746,0.21280592386307345,23.01983403845388,8.066666666666666,61.166666666666664
random_generated,40,0.3,weighted_astar,30,1,0.11311666845964889,0.05055163786021891,23.378819125843897,8.133333333333333,25.633333333333333
random_generated,40,0.3,jps_like,30,0.9333333333333333,1.2613066656437393,1.573109352674449,30.089886095243372,13.821428571428571,179.76666666666668
random_generated,40,0.3,improved_astar,30,0.9333333333333333,0.9451400032655025,1.4136991140616382,27.37032017569574,5.535714285714286,128.23333333333332
random_generated,40,0.7,dijkstra,30,1,0.07853666708494227,0.06334482695482664,10.75864837846446,5,28.433333333333334
random_generated,40,0.7,astar,30,1,0.05072000106641402,0.052770904183251026,10.75864837846446,4.833333333333333,15.566666666666666
random_generated,40,0.7,weighted_astar,30,1,0.04838000071079781,0.05487813555027669,10.75864837846446,4.766666666666667,13.6
random_generated,40,0.7,jps_like,30,0.1,0.02251667028758675,0.022994217142164965,3.0,1,4.4
random_generated,40,0.7,improved_astar,30,0.1,0.020403329593439896,0.019466337495339447,2.804737854124365,0.6666666666666666,4.4
random_generated,80,0.3,dijkstra,30,1,6.036990000090252,4.205103453249582,38.46173157302027,12.033333333333333,1836.6
random_generated,80,0.3,astar,30,1,0.5918833349520961,0.47328494351152156,38.46173157302027,12.166666666666666,144.5
random_generated,80,0.3,weighted_astar,30,1,0.23655666639873138,0.16712249732221654,39.19449010826351,13.333333333333334,48.8
random_generated,80,0.3,jps_like,30,1,2.471226663328707,2.0648345998695596,45.86264308003594,20.8,331.73333333333335
random_generated,80,0.3,improved_astar,30,1,1.209866664915656,0.9606159079134843,42.12358210484246,8.966666666666667,159
random_generated,80,0.7,dijkstra,30,1,0.0973466628541549,0.07229260383796296,12.262404990871397,6.266666666666667,35.266666666666666
random_generated,80,0.7,astar,30,1,0.05821667048924913,0.052659629917838305,12.262404990871397,6.233333333333333,18.466666666666665
random_generated,80,0.7,weighted_astar,30,1,0.052189997707804046,0.051552086750961484,12.262404990871397,6.2,16.066666666666666
random_generated,80,0.7,jps_like,30,0.06666666666666667,0.024793331006852288,0.03529028710578527,1.5,0,5.8
random_generated,80,0.7,improved_astar,30,0.06666666666666667,0.02332666578392188,0.034550619654476276,1.5,0,5.8
random_generated,100,0.3,dijkstra,30,1,11.882816668367013,6.463606825664524,60.15297013226517,20.733333333333334,3592.866666666667
random_generated,100,0.3,astar,30,1,1.3061833305982873,1.2106517119167828,60.15297013226517,19.4,322.46666666666664
random_generated,100,0.3,weighted_astar,30,1,0.33611000108066946,0.15684404533608817,62.09127940888742,22.6,73.03333333333333
random_generated,100,0.3,jps_like,30,0.9333333333333333,10.289980003532643,12.331944219822212,74.10203563658898,33.07142857142857,1376.4
random_generated,100,0.3,improved_astar,30,0.9333333333333333,6.751313332157831,11.983727511848949,68.28303682230383,15.071428571428571,920.1333333333333
random_generated,100,0.7,dijkstra,30,1,0.11008333531208336,0.09664835464143028,12.929071657538064,6.5,35.13333333333333
random_generated,100,0.7,astar,30,1,0.06830666679888964,0.06373472941123086,12.929071657538064,6.4,20.566666666666666
random_generated,100,0.7,weighted_astar,30,1,0.05850666590655843,0.05960111807379112,12.929071657538064,6.366666666666666,18.333333333333332
random_generated,100,0.7,jps_like,30,0.13333333333333333,0.023010001556637388,0.019840567915103996,2.5,1,4.8
random_generated,100,0.7,improved_astar,30,0.13333333333333333,0.02407666373377045,0.03098016487159701,1.9878831875909628,0,4.8
