size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
20,0.3,dijkstra,5,1,0.5288200074573979,0.14806442157523506,14.153910524340095,4.4,184
20,0.3,astar,5,1,0.09811999916564673,0.0513662714665627,14.153910524340095,5,25.4
20,0.3,weighted_astar,5,1,0.06261999951675534,0.024098667208247822,14.53380951166243,4.8,17.6
20,0.3,jps_like,5,1,0.15848000184632838,0.09631615019306082,14.153910524340095,4.8,22
20,0.3,improved_astar,5,1,0.1260399993043393,0.07076189751663402,13.097181510277064,2.4,14.8
20,0.3,ablation_no_adaptive,5,1,0.09817999671213329,0.05246231025314552,12.841886116732885,2.8,12.6
20,0.3,ablation_no_jump,5,1,0.08353999583050609,0.039408306557687386,13.18011735371891,3,22.2
20,0.3,ablation_no_smoothing,5,1,0.15002000436652452,0.114367937104059,14.153910524340095,4.4,14.8
20,0.7,dijkstra,5,1,0.04569999873638153,0.02925857525689251,6.525483399593904,3.2,16.2
20,0.7,astar,5,1,0.02370000001974404,0.01631502412789622,6.525483399593904,3.2,8
20,0.7,weighted_astar,5,1,0.018619996262714267,0.012154734943281306,6.525483399593904,3.2,6.8
20,0.7,jps_like,5,1,0.030739998328499496,0.02203230374927541,6.525483399593904,3.2,7.8
20,0.7,improved_astar,5,1,0.04527999844867736,0.024137720957528856,5.30995529529691,2,9.6
20,0.7,ablation_no_adaptive,5,1,0.02995999820996076,0.021069280776688966,5.30995529529691,2,6.6
20,0.7,ablation_no_jump,5,1,0.025720000849105418,0.019029596098851884,5.557168890796868,2.4,9.6
20,0.7,ablation_no_smoothing,5,1,0.035259994911029935,0.028204296985231758,6.525483399593904,3.2,9.6
40,0.3,dijkstra,5,1,1.3200799963669851,0.9971556736672605,19.61665222413705,6,430.2
40,0.3,astar,5,1,0.13650000328198075,0.060289099879172546,19.61665222413705,6.4,37
40,0.3,weighted_astar,5,1,0.095420001889579,0.04628927365911434,20.065180361560905,7.2,25
40,0.3,jps_like,5,1,0.27275999600533396,0.1062703453733804,19.616652224137045,6.8,34
40,0.3,improved_astar,5,1,0.16285999736282974,0.06059285334321292,18.828774861880824,4.4,19
40,0.3,ablation_no_adaptive,5,1,0.17022000101860613,0.09116304855060219,18.828774861880824,4.4,19.6
40,0.3,ablation_no_jump,5,1,0.10245999728795141,0.04864769916557037,18.601778633602702,4.4,24.8
40,0.3,ablation_no_smoothing,5,1,0.14207999920472503,0.058786372309962316,20.065180361560902,7.2,19
40,0.7,dijkstra,5,1,0.06232000014279038,0.023304115163621936,8.174011537017762,4,25
40,0.7,astar,5,1,0.02927999885287136,0.010285405225291467,8.174011537017762,4,10
40,0.7,weighted_astar,5,1,0.026420000358484685,0.010189685405290277,8.174011537017762,4,10
40,0.7,jps_like,5,1,0.05714000144507736,0.044532943086105836,8.17401153701776,4,8.6
40,0.7,improved_astar,5,1,0.05505999724846333,0.017359215098174702,7.385605357338777,2.6,12.6
40,0.7,ablation_no_adaptive,5,1,0.03530000103637576,0.016880280031032757,7.385605357338777,2.6,8.6
40,0.7,ablation_no_jump,5,1,0.03572000132407993,0.01167894272366606,7.385605357338777,2.6,12.6
40,0.7,ablation_no_smoothing,5,1,0.052040000446140766,0.016793041857394653,8.17401153701776,4,12.6
