map_name,map_type,size,ratio,run_id,algorithm,success,runtime_ms,path_length,turn_count,expanded_nodes
battleground.map,wc3,512,0.6480255126953125,0,dijkstra,1,392.62936700106366,316.1442276647849,7,83945
battleground.map,wc3,512,0.6480255126953125,0,astar,1,24.40251300140517,316.1442276647849,13,4635
battleground.map,wc3,512,0.6480255126953125,0,weighted_astar,1,5.424250000942266,319.45793616376983,17,866
battleground.map,wc3,512,0.6480255126953125,0,improved_astar,1,24.29992200268316,301.3133277083712,4,4635
battleground.map,wc3,512,0.6480255126953125,0,ablation_no_adaptive,1,24.328785999387037,301.3133277083712,4,4635
battleground.map,wc3,512,0.6480255126953125,0,ablation_no_smoothing,1,24.38406800138182,316.1442276647849,13,4635
battleground.map,wc3,512,0.6480255126953125,1,dijkstra,1,417.0568090012239,335.56349186104114,19,88912
battleground.map,wc3,512,0.6480255126953125,1,astar,1,98.29028799867956,335.56349186104114,13,12446
battleground.map,wc3,512,0.6480255126953125,1,weighted_astar,1,40.49544800000149,354.61731573020353,15,6038
battleground.map,wc3,512,0.6480255126953125,1,improved_astar,1,97.20131599897286,316.8422955216319,7,12446
battleground.map,wc3,512,0.6480255126953125,1,ablation_no_adaptive,1,97.86608099966543,316.8422955216319,7,12446
battleground.map,wc3,512,0.6480255126953125,1,ablation_no_smoothing,1,94.62829900076031,335.56349186104114,13,12446
battleground.map,wc3,512,0.6480255126953125,2,dijkstra,1,38.53407900169259,137.85281374238554,10,9992
battleground.map,wc3,512,0.6480255126953125,2,astar,1,5.263069000648102,137.8528137423856,5,923
battleground.map,wc3,512,0.6480255126953125,2,weighted_astar,1,0.8210230007534847,137.85281374238562,1,114
battleground.map,wc3,512,0.6480255126953125,2,improved_astar,1,5.040824002207955,128.18520056601318,1,923
battleground.map,wc3,512,0.6480255126953125,2,ablation_no_adaptive,1,4.935995999403531,128.18520056601318,1,923
battleground.map,wc3,512,0.6480255126953125,2,ablation_no_smoothing,1,5.033016001107171,137.8528137423856,5,923
battleground.map,wc3,512,0.6480255126953125,3,dijkstra,1,395.4858930010232,246.50461735799522,9,84365
battleground.map,wc3,512,0.6480255126953125,3,astar,1,21.845307001058245,246.50461735799522,9,4604
battleground.map,wc3,512,0.6480255126953125,3,weighted_astar,1,5.858405002072686,249.81832585698007,20,1070
battleground.map,wc3,512,0.6480255126953125,3,improved_astar,1,21.630005998304114,233.45937450287232,5,4604
battleground.map,wc3,512,0.6480255126953125,3,ablation_no_adaptive,1,21.23638700140873,233.45937450287232,5,4604
battleground.map,wc3,512,0.6480255126953125,3,ablation_no_smoothing,1,21.350113001972204,246.50461735799522,9,4604
battleground.map,wc3,512,0.6480255126953125,4,dijkstra,1,32.58447000189335,82.69848480983497,9,8076
battleground.map,wc3,512,0.6480255126953125,4,astar,1,1.6688010000507347,82.69848480983497,11,322
