map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
battleground.map,512,0.6480255126953125,dijkstra,30,1,3.007266665614831,2.719584251420261,6.137902832994921,0.7666666666666667,126.76666666666667
battleground.map,512,0.6480255126953125,astar,30,1,0.24966333197274557,0.15024937909828875,6.137902832994921,1.1333333333333333,7.333333333333333
battleground.map,512,0.6480255126953125,weighted_astar,30,1,0.1910466681389759,0.10075215842621218,6.137902832994921,0.7,6.033333333333333
battleground.map,512,0.6480255126953125,improved_astar,30,1,0.29234999674372375,0.16525620378000075,5.878181772169503,0.06666666666666667,7.333333333333333
battleground.map,512,0.6480255126953125,ablation_no_adaptive,30,1,0.21574333271322152,0.1099475445355467,5.878181772169503,0.06666666666666667,6.033333333333333
battleground.map,512,0.6480255126953125,ablation_no_smoothing,30,1,0.264616667603453,0.14643324523230014,6.137902832994921,1.1333333333333333,7.333333333333333
blastedlands.map,512,0.4987373352050781,dijkstra,30,1,2.244780003093183,1.862596577886534,6.2398653164297775,0.9333333333333333,121.76666666666667
blastedlands.map,512,0.4987373352050781,astar,30,1,0.23418666678480804,0.16453634044196758,6.2398653164297775,1.2333333333333334,8.766666666666667
blastedlands.map,512,0.4987373352050781,weighted_astar,30,1,0.18475999919852862,0.1043694743507506,6.2398653164297775,0.7666666666666667,6.466666666666667
blastedlands.map,512,0.4987373352050781,improved_astar,30,1,0.24081666876251498,0.1736723779409761,5.918482210990628,0,8.766666666666667
blastedlands.map,512,0.4987373352050781,ablation_no_adaptive,30,1,0.20896999728089818,0.22790513116094413,5.918482210990628,0,6.466666666666667
blastedlands.map,512,0.4987373352050781,ablation_no_smoothing,30,1,0.24682333363064876,0.16478139652235826,6.2398653164297775,1.2333333333333334,8.766666666666667
bloodvenomfalls.map,512,0.557281494140625,dijkstra,30,1,3.0170133366482332,2.4731444664730207,6.48700576850888,1.0666666666666667,137.13333333333333
bloodvenomfalls.map,512,0.557281494140625,astar,30,1,0.3000499981377895,0.28033637822166263,6.48700576850888,1.1,8.733333333333333
bloodvenomfalls.map,512,0.557281494140625,weighted_astar,30,1,0.2161866684521859,0.11693800208021528,6.48700576850888,0.8666666666666667,6.7
bloodvenomfalls.map,512,0.557281494140625,improved_astar,30,1,0.3224333350469048,0.24272545332943302,6.150789490892528,0.03333333333333333,8.733333333333333
bloodvenomfalls.map,512,0.557281494140625,ablation_no_adaptive,30,1,0.2245200021813313,0.11937792305990522,6.150789490892528,0.03333333333333333,6.7
bloodvenomfalls.map,512,0.557281494140625,ablation_no_smoothing,30,1,0.2742666663834825,0.15487391748756427,6.48700576850888,1.1,8.733333333333333
bootybay.map,512,0.7149009704589844,dijkstra,30,1,4.575789999216795,3.663630482555313,5.82842712474619,0.5666666666666667,114.33333333333333
bootybay.map,512,0.7149009704589844,astar,30,1,0.4508466663537547,0.26403739995972947,5.82842712474619,0.9333333333333333,7.9
bootybay.map,512,0.7149009704589844,weighted_astar,30,1,0.3668266658981641,0.19705754602260075,5.828427124746191,0.5,6
bootybay.map,512,0.7149009704589844,improved_astar,30,1,0.5182033288292587,0.3296507290435421,5.60840875879487,0,7.9
bootybay.map,512,0.7149009704589844,ablation_no_adaptive,30,1,0.35851666470989585,0.16393746758891029,5.60840875879487,0,6
bootybay.map,512,0.7149009704589844,ablation_no_smoothing,30,1,0.5002366660240417,0.2685912507532963,5.82842712474619,0.9333333333333333,7.9
darkforest.map,512,0.6194496154785156,dijkstra,30,1,3.1075533324231706,2.6885029657377646,6.435533905932737,1,144.86666666666667
darkforest.map,512,0.6194496154785156,astar,30,1,0.2825166642044981,0.2494167317988706,6.435533905932737,1.0666666666666667,9.833333333333334
darkforest.map,512,0.6194496154785156,weighted_astar,30,1,0.20571999872724214,0.16495478557309523,6.435533905932738,0.7333333333333333,6.4
darkforest.map,512,0.6194496154785156,improved_astar,30,1,0.3184766663859288,0.27223783701313514,6.083032980746614,0,9.833333333333334
darkforest.map,512,0.6194496154785156,ablation_no_adaptive,30,1,0.17954333258482316,0.10007138719589116,6.083032980746614,0,6.4
darkforest.map,512,0.6194496154785156,ablation_no_smoothing,30,1,0.30775666624928516,0.2289510925139036,6.435533905932737,1.0666666666666667,9.833333333333334
