size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
49,0.1445231153685964,runtime_ms,astar,20,0.044494998292066115,0.030704998061992183,0.013790000230073932,-44.91125582301769,0.028985507246376812,1,0.04743083003952569,1
49,0.1445231153685964,path_length,astar,20,3.8427307154843264,4.054163056034262,-0.2114323405499352,5.215190845253176,0.6421789105447276,0,0.7681159420289855,0
49,0.1445231153685964,turn_count,astar,20,0.0,0.85,-0.85,100.0,0.0004997501249375312,1,0.0010582943822206542,1
49,0.1445231153685964,runtime_ms,weighted_astar,20,0.044494998292066115,0.029845001699868534,0.014649996592197581,-49.08693502356917,0.028985507246376812,1,0.04743083003952569,1
49,0.1445231153685964,path_length,weighted_astar,20,3.8427307154843264,4.054163056034262,-0.2114323405499352,5.215190845253176,0.672663668165917,0,0.7681159420289855,0
49,0.1445231153685964,turn_count,weighted_astar,20,0.0,0.7,-0.7,100.0,0.0004997501249375312,1,0.0010582943822206542,1
49,0.1445231153685964,runtime_ms,jps_like,20,0.044494998292066115,0.08268500241683792,-0.038190004124771804,46.1873411241442,0.017991004497751123,1,0.032383808095952024,1
49,0.1445231153685964,path_length,jps_like,20,3.8427307154843264,4.054163056034262,-0.2114323405499352,5.215190845253176,0.6466766616691654,0,0.7681159420289855,0
49,0.1445231153685964,turn_count,jps_like,20,0.0,0.95,-0.95,100.0,0.0004997501249375312,1,0.0010582943822206542,1
49,0.1445231153685964,runtime_ms,dijkstra,20,0.044494998292066115,0.21040000137872994,-0.16590500308666384,78.85218726212221,0.0004997501249375312,1,0.0010582943822206542,1
49,0.1445231153685964,path_length,dijkstra,20,3.8427307154843264,4.054163056034262,-0.2114323405499352,5.215190845253176,0.6471764117941029,0,0.7681159420289855,0
49,0.1445231153685964,turn_count,dijkstra,20,0.0,0.7,-0.7,100.0,0.0004997501249375312,1,0.0010582943822206542,1
261,0.5682126511322808,runtime_ms,astar,20,0.14231999957701186,0.031130001298151865,0.11118999827885999,-357.17954912344044,0.0004997501249375312,1,0.0010582943822206542,1
261,0.5682126511322808,path_length,astar,20,3.8650284236824803,4.076345596729059,-0.2113171730465786,5.183985705631625,0.7331334332833583,0,0.7681159420289855,0
261,0.5682126511322808,turn_count,astar,20,0.0,0.7,-0.7,100.0,0.0004997501249375312,1,0.0010582943822206542,1
261,0.5682126511322808,runtime_ms,weighted_astar,20,0.14231999957701186,0.0251899982686154,0.11713000130839646,-464.98614275146855,0.0004997501249375312,1,0.0010582943822206542,1
261,0.5682126511322808,path_length,weighted_astar,20,3.8650284236824803,4.076345596729059,-0.2113171730465786,5.183985705631625,0.736631684157921,0,0.7681159420289855,0
261,0.5682126511322808,turn_count,weighted_astar,20,0.0,0.6,-0.6,100.0,0.0004997501249375312,1,0.0010582943822206542,1
261,0.5682126511322808,runtime_ms,jps_like,20,0.14231999957701186,0.06600500055355948,0.07631499902345237,-115.62002633653019,0.006496751624187906,1,0.012309634656356032,1
261,0.5682126511322808,path_length,jps_like,20,3.8650284236824803,4.076345596729059,-0.2113171730465786,5.183985705631625,0.7231384307846077,0,0.7681159420289855,0
261,0.5682126511322808,turn_count,jps_like,20,0.0,1.0,-1.0,100.0,0.0004997501249375312,1,0.0010582943822206542,1
261,0.5682126511322808,runtime_ms,dijkstra,20,0.14231999957701186,0.2159649971872568,-0.07364499761024496,34.10043227810179,0.1424287856071964,0,0.2136431784107946,0
261,0.5682126511322808,path_length,dijkstra,20,3.8650284236824803,4.076345596729059,-0.2113171730465786,5.183985705631625,0.7346326836581709,0,0.7681159420289855,0
261,0.5682126511322808,turn_count,dijkstra,20,0.0,0.6,-0.6,100.0,0.0004997501249375312,1,0.0010582943822206542,1
281,0.5860477787805003,runtime_ms,astar,20,0.1396599996951408,0.029985001310706094,0.10967499838443472,-365.76619506524895,0.0004997501249375312,1,0.0010582943822206542,1
281,0.5860477787805003,path_length,astar,20,4.128255740453996,4.321320343559643,-0.19306460310564688,4.467722542101841,0.7526236881559221,0,0.7681159420289855,0
281,0.5860477787805003,turn_count,astar,20,0.0,1.2,-1.2,100.0,0.0004997501249375312,1,0.0010582943822206542,1
281,0.5860477787805003,runtime_ms,weighted_astar,20,0.1396599996951408,0.02490500482963393,0.11475499486550689,-460.77081956218854,0.0004997501249375312,1,0.0010582943822206542,1
281,0.5860477787805003,path_length,weighted_astar,20,4.128255740453996,4.321320343559643,-0.19306460310564688,4.467722542101841,0.7611194402798601,0,0.7681159420289855,0
281,0.5860477787805003,turn_count,weighted_astar,20,0.0,0.7,-0.7,100.0,0.0004997501249375312,1,0.0010582943822206542,1
281,0.5860477787805003,runtime_ms,jps_like,20,0.1396599996951408,0.06796499801566822,0.0716950016794726,-105.48812443567567,0.005497251374312844,1,0.010994502748625687,1
281,0.5860477787805003,path_length,jps_like,20,4.128255740453996,4.321320343559643,-0.19306460310564688,4.467722542101841,0.7511244377811095,0,0.7681159420289855,0
281,0.5860477787805003,turn_count,jps_like,20,0.0,1.55,-1.55,100.0,0.0004997501249375312,1,0.0010582943822206542,1
281,0.5860477787805003,runtime_ms,dijkstra,20,0.1396599996951408,0.23017000057734543,-0.09051000088220462,39.32310929103465,0.05847076461769116,0,0.09151945766247312,0
281,0.5860477787805003,path_length,dijkstra,20,4.128255740453996,4.321320343559643,-0.19306460310564688,4.467722542101841,0.7681159420289855,0,0.7681159420289855,0
281,0.5860477787805003,turn_count,dijkstra,20,0.0,0.7,-0.7,100.0,0.0004997501249375312,1,0.0010582943822206542,1
