algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id
dijkstra,1,7.65685424949238,4,0.18620002083480358,56,random_generated,20,0.3,0,0
astar,1,7.65685424949238,4,0.036500015994533896,8,random_generated,20,0.3,0,0
weighted_astar,1,7.65685424949238,3,0.026399997295811772,7,random_generated,20,0.3,0,0
jps_like,1,8.82842712474619,3,0.07609999738633633,12,random_generated,20,0.3,0,0
improved_astar,1,7.255832815336873,2,0.05229999078437686,8,random_generated,20,0.3,0,0
dijkstra,1,4.82842712474619,2,0.059999991208314896,19,random_generated,20,0.3,1,1
astar,1,4.82842712474619,2,0.025999994250014424,7,random_generated,20,0.3,1,1
weighted_astar,1,4.82842712474619,1,0.0185999961104244,5,random_generated,20,0.3,1,1
jps_like,1,5.414213562373095,2,0.063000014051795,9,random_generated,20,0.3,1,1
improved_astar,1,4.576491222541475,1,0.045199994929134846,6,random_generated,20,0.3,1,1
dijkstra,1,10.242640687119286,4,0.3862000012304634,125,random_generated,20,0.3,2,2
astar,1,10.242640687119286,4,0.0858000130392611,23,random_generated,20,0.3,2,2
weighted_astar,1,10.242640687119286,4,0.05020000389777124,12,random_generated,20,0.3,2,2
jps_like,1,15.656854249492381,7,0.4060999781358987,57,random_generated,20,0.3,2,2
improved_astar,1,14.565493175066557,2,0.2367999986745417,34,random_generated,20,0.3,2,2
dijkstra,1,7.82842712474619,4,0.3231000155210495,110,random_generated,20,0.3,3,3
astar,1,7.82842712474619,4,0.05780000356025994,16,random_generated,20,0.3,3,3
weighted_astar,1,7.82842712474619,4,0.039799982914701104,11,random_generated,20,0.3,3,3
jps_like,1,10.414213562373096,4,0.17809998826123774,29,random_generated,20,0.3,3,3
improved_astar,1,8.23606797749979,2,0.15949999215081334,25,random_generated,20,0.3,3,3
dijkstra,1,8.65685424949238,4,0.2862999972421676,111,random_generated,20,0.3,4,4
astar,1,8.65685424949238,4,0.041399995097890496,12,random_generated,20,0.3,4,4
weighted_astar,1,8.65685424949238,5,0.028499984182417393,8,random_generated,20,0.3,4,4
jps_like,1,10.414213562373096,6,0.0957000011112541,18,random_generated,20,0.3,4,4
improved_astar,1,8.182042498005464,2,0.07920002099126577,14,random_generated,20,0.3,4,4
dijkstra,1,12.242640687119286,5,0.18810000619851053,75,random_generated,20,0.3,5,5
astar,1,12.242640687119286,5,0.06749999010935426,23,random_generated,20,0.3,5,5
