map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean,source
arena.map,49,0.1445231153685964,dijkstra,30,1,2.535573332958544,2.353360576983876,5.960779216362095,1.0333333333333334,105.93333333333334,exp_fix15_dao_v1_summary.csv
arena.map,49,0.1445231153685964,astar,30,1,0.2612866703808928,0.1607201864464636,5.960779216362095,1.1666666666666667,6.933333333333334,exp_fix15_dao_v1_summary.csv
arena.map,49,0.1445231153685964,weighted_astar,30,1,0.2236866663830975,0.1090545558319586,5.960779216362095,0.8666666666666667,5.966666666666667,exp_fix15_dao_v1_summary.csv
arena.map,49,0.1445231153685964,improved_astar,30,1,0.2277300014005353,0.1164235093199121,5.659387215784249,0.0666666666666666,5.966666666666667,exp_fix15_dao_v1_summary.csv
arena.map,49,0.1445231153685964,ablation_no_adaptive,30,1,0.2276299996689582,0.1536930444838486,5.659387215784249,0.0666666666666666,5.966666666666667,exp_fix15_dao_v1_summary.csv
arena.map,49,0.1445231153685964,ablation_no_smoothing,30,1,0.2323499997146427,0.1097251497063731,5.960779216362095,0.8666666666666667,5.966666666666667,exp_fix15_dao_v1_summary.csv
arena2.map,281,0.5860477787805003,dijkstra,30,1,2.6535533339483663,2.167018206141983,6.391743622633245,0.9,126.36666666666666,exp_fix15_dao_v1_summary.csv
arena2.map,281,0.5860477787805003,astar,30,1,0.3133233326176802,0.256652428642694,6.391743622633245,1.3666666666666667,8.666666666666666,exp_fix15_dao_v1_summary.csv
arena2.map,281,0.5860477787805003,weighted_astar,30,1,0.219766665638114,0.1192990069194333,6.391743622633246,0.9,6.7,exp_fix15_dao_v1_summary.csv
arena2.map,281,0.5860477787805003,improved_astar,30,1,0.3008666700528313,0.2030851206016766,6.133454831958846,0.1,8.666666666666666,exp_fix15_dao_v1_summary.csv
arena2.map,281,0.5860477787805003,ablation_no_adaptive,30,1,0.2220399997895583,0.1212430733758835,6.132690996916974,0.1,6.7,exp_fix15_dao_v1_summary.csv
arena2.map,281,0.5860477787805003,ablation_no_smoothing,30,1,0.3012299993618701,0.2142692351086809,6.391743622633245,1.3666666666666667,8.666666666666666,exp_fix15_dao_v1_summary.csv
brc000d.map,261,0.5682126511322808,dijkstra,30,1,2.9954000007516397,3.2581756688639083,6.222708028904396,0.9333333333333332,121.76666666666668,exp_fix15_dao_v1_summary.csv
brc000d.map,261,0.5682126511322808,astar,30,1,0.2768600049118201,0.2008205048542292,6.222708028904396,1.2333333333333334,7.3,exp_fix15_dao_v1_summary.csv
brc000d.map,261,0.5682126511322808,weighted_astar,30,1,0.2276733323621253,0.1634849303563825,6.222708028904396,0.9333333333333332,6.533333333333333,exp_fix15_dao_v1_summary.csv
brc000d.map,261,0.5682126511322808,improved_astar,30,1,0.2724000000550101,0.2002519502913433,5.894137847430445,0.1,7.3,exp_fix15_dao_v1_summary.csv
brc000d.map,261,0.5682126511322808,ablation_no_adaptive,30,1,0.2601799991680309,0.1808700952555789,5.891238809168276,0.1,6.533333333333333,exp_fix15_dao_v1_summary.csv
brc000d.map,261,0.5682126511322808,ablation_no_smoothing,30,1,0.2372300000085185,0.1507166304743355,6.222708028904396,1.2333333333333334,7.3,exp_fix15_dao_v1_summary.csv
brc100d.map,512,0.8768459413109756,dijkstra,30,1,3.740356665609094,2.9167234946934317,6.138884074712348,0.8666666666666667,114.36666666666666,exp_fix15_dao_v1_summary.csv
brc100d.map,512,0.8768459413109756,astar,30,1,0.406446663934427,0.2008523365889641,6.138884074712348,1.0,7.8,exp_fix15_dao_v1_summary.csv
brc100d.map,512,0.8768459413109756,weighted_astar,30,1,0.3295033297035843,0.1505175320102122,6.138884074712349,0.7,6.2,exp_fix15_dao_v1_summary.csv
brc100d.map,512,0.8768459413109756,improved_astar,30,1,0.4843700017469625,0.3254597688757922,5.819984521346584,0.0,7.8,exp_fix15_dao_v1_summary.csv
brc100d.map,512,0.8768459413109756,ablation_no_adaptive,30,1,0.3348633346225445,0.1599532861558579,5.819984521346584,0.0,6.2,exp_fix15_dao_v1_summary.csv
brc100d.map,512,0.8768459413109756,ablation_no_smoothing,30,1,0.5088199987464274,0.4449734359716243,6.138884074712348,1.0,7.8,exp_fix15_dao_v1_summary.csv
brc101d.map,639,0.8782195487741262,dijkstra,30,1,2.0543266679548347,1.7010869732778278,6.052691193458118,1.0666666666666669,110.5,exp_fix15_dao_v1_summary.csv
brc101d.map,639,0.8782195487741262,astar,30,1,0.2815399988321587,0.2249598766884816,6.052691193458118,1.3666666666666667,8.8,exp_fix15_dao_v1_summary.csv
brc101d.map,639,0.8782195487741262,weighted_astar,30,1,0.2038000025398408,0.1581294922163104,6.052691193458119,0.7666666666666667,6.1,exp_fix15_dao_v1_summary.csv
brc101d.map,639,0.8782195487741262,improved_astar,30,1,0.241496666179349,0.143467938856699,5.718481607708424,0.0,8.8,exp_fix15_dao_v1_summary.csv
brc101d.map,639,0.8782195487741262,ablation_no_adaptive,30,1,0.1819433353375643,0.0799599978048456,5.718481607708424,0.0,6.1,exp_fix15_dao_v1_summary.csv
brc101d.map,639,0.8782195487741262,ablation_no_smoothing,30,1,0.2627500003048529,0.2049097296428859,6.052691193458118,1.3666666666666667,8.8,exp_fix15_dao_v1_summary.csv
Berlin_0_1024.map,1024,0.2420692443847656,dijkstra,30,1,4.634563332850424,4.456446651125269,6.064129385141706,0.7666666666666667,135.76666666666668,exp_fix15_street_v1_summary.csv
Berlin_0_1024.map,1024,0.2420692443847656,astar,30,1,0.4048899970560645,0.3307154429759883,6.064129385141706,0.9333333333333332,8.066666666666666,exp_fix15_street_v1_summary.csv
Berlin_0_1024.map,1024,0.2420692443847656,weighted_astar,30,1,0.3162499982863664,0.2163071568667494,6.064129385141706,0.6,6.166666666666667,exp_fix15_street_v1_summary.csv
Berlin_0_1024.map,1024,0.2420692443847656,improved_astar,30,1,0.4214033368043601,0.2481060009386077,5.829731760782374,0.0,6.166666666666667,exp_fix15_street_v1_summary.csv
Berlin_0_1024.map,1024,0.2420692443847656,ablation_no_adaptive,30,1,0.3129333354687939,0.1699518330531182,5.829731760782374,0.0,6.166666666666667,exp_fix15_street_v1_summary.csv
Berlin_0_1024.map,1024,0.2420692443847656,ablation_no_smoothing,30,1,0.4407933311692129,0.2621552048494281,6.064129385141706,0.6,6.166666666666667,exp_fix15_street_v1_summary.csv
Berlin_0_256.map,256,0.2653350830078125,dijkstra,30,1,3.2197666684320816,3.4293110596949794,6.206531983096444,0.9333333333333332,113.36666666666666,exp_fix15_street_v1_summary.csv
Berlin_0_256.map,256,0.2653350830078125,astar,30,1,0.4211633349768817,0.6322743161592718,6.206531983096444,1.3333333333333333,7.933333333333334,exp_fix15_street_v1_summary.csv
Berlin_0_256.map,256,0.2653350830078125,weighted_astar,30,1,0.2797566625910501,0.1620127076102902,6.206531983096444,0.7333333333333333,6.433333333333334,exp_fix15_street_v1_summary.csv
Berlin_0_256.map,256,0.2653350830078125,improved_astar,30,1,0.2819166664266959,0.1475863182140176,5.89576920504348,0.0333333333333333,6.433333333333334,exp_fix15_street_v1_summary.csv
Berlin_0_256.map,256,0.2653350830078125,ablation_no_adaptive,30,1,0.2811333329494421,0.1847277451942534,5.89576920504348,0.0333333333333333,6.433333333333334,exp_fix15_street_v1_summary.csv
Berlin_0_256.map,256,0.2653350830078125,ablation_no_smoothing,30,1,0.2995999966515228,0.1792205252099281,6.206531983096444,0.7333333333333333,6.433333333333334,exp_fix15_street_v1_summary.csv
Berlin_0_512.map,512,0.2497749328613281,dijkstra,30,1,4.477006665547378,4.050437924341434,5.797462718475039,0.8,115.5,exp_fix15_street_v1_summary.csv
Berlin_0_512.map,512,0.2497749328613281,astar,30,1,0.4666299956928317,0.2978100554975266,5.797462718475039,0.8333333333333334,7.566666666666666,exp_fix15_street_v1_summary.csv
Berlin_0_512.map,512,0.2497749328613281,weighted_astar,30,1,0.3518333328732599,0.1626048116983187,5.79746271847504,0.7,5.9,exp_fix15_street_v1_summary.csv
Berlin_0_512.map,512,0.2497749328613281,improved_astar,30,1,0.415439999778755,0.1603936438811338,5.53040481219267,0.0,5.9,exp_fix15_street_v1_summary.csv
Berlin_0_512.map,512,0.2497749328613281,ablation_no_adaptive,30,1,0.3786266655273114,0.1716159169018999,5.53040481219267,0.0,5.9,exp_fix15_street_v1_summary.csv
Berlin_0_512.map,512,0.2497749328613281,ablation_no_smoothing,30,1,0.4540666646789759,0.2208061198579927,5.79746271847504,0.7,5.9,exp_fix15_street_v1_summary.csv
Berlin_1_1024.map,1024,0.2377176284790039,dijkstra,30,1,6.1371266686668,5.800703177186743,6.043215485209388,0.9,142.0,exp_fix15_street_v1_summary.csv
Berlin_1_1024.map,1024,0.2377176284790039,astar,30,1,0.5082066646233822,0.3522971594833423,6.043215485209388,1.2,8.066666666666666,exp_fix15_street_v1_summary.csv
Berlin_1_1024.map,1024,0.2377176284790039,weighted_astar,30,1,0.4182000004220754,0.2862387064985098,6.043215485209389,0.6333333333333333,6.366666666666666,exp_fix15_street_v1_summary.csv
Berlin_1_1024.map,1024,0.2377176284790039,improved_astar,30,1,0.5362666658281038,0.2468798935097695,5.735857026598241,0.0,6.366666666666666,exp_fix15_street_v1_summary.csv
Berlin_1_1024.map,1024,0.2377176284790039,ablation_no_adaptive,30,1,0.4198133314882095,0.2523335758546045,5.735857026598241,0.0,6.366666666666666,exp_fix15_street_v1_summary.csv
Berlin_1_1024.map,1024,0.2377176284790039,ablation_no_smoothing,30,1,0.540033333042326,0.2355932600350596,6.043215485209389,0.6333333333333333,6.366666666666666,exp_fix15_street_v1_summary.csv
Berlin_1_256.map,256,0.27459716796875,dijkstra,30,1,3.974473331860888,3.065714608353132,5.91462000600042,0.9333333333333332,106.43333333333334,exp_fix15_street_v1_summary.csv
Berlin_1_256.map,256,0.27459716796875,astar,30,1,0.4276499986493339,0.2248571080303247,5.91462000600042,1.0333333333333334,6.933333333333334,exp_fix15_street_v1_summary.csv
Berlin_1_256.map,256,0.27459716796875,weighted_astar,30,1,0.3454500023508444,0.1533594014007939,5.91462000600042,0.8666666666666667,6.1,exp_fix15_street_v1_summary.csv
Berlin_1_256.map,256,0.27459716796875,improved_astar,30,1,0.3737133316462859,0.1509221766017633,5.595439567924114,0.0,6.1,exp_fix15_street_v1_summary.csv
Berlin_1_256.map,256,0.27459716796875,ablation_no_adaptive,30,1,0.3711233322974294,0.1708761344077583,5.595439567924114,0.0,6.1,exp_fix15_street_v1_summary.csv
Berlin_1_256.map,256,0.27459716796875,ablation_no_smoothing,30,1,0.3905333336054657,0.1747264124010578,5.91462000600042,0.8666666666666667,6.1,exp_fix15_street_v1_summary.csv
battleground.map,512,0.6480255126953125,dijkstra,30,1,5.57051000262921,4.922916979938992,6.137902832994921,0.7666666666666667,126.76666666666668,exp_fix15_wc3_v1_summary.csv
battleground.map,512,0.6480255126953125,astar,30,1,0.5180966671711454,0.4115038773125862,6.137902832994921,1.1333333333333333,7.333333333333333,exp_fix15_wc3_v1_summary.csv
battleground.map,512,0.6480255126953125,weighted_astar,30,1,0.4032066703075543,0.1988953532534462,6.137902832994921,0.7,6.033333333333333,exp_fix15_wc3_v1_summary.csv
battleground.map,512,0.6480255126953125,improved_astar,30,1,0.5515366656860957,0.3073380229275219,5.878181772169503,0.0666666666666666,7.333333333333333,exp_fix15_wc3_v1_summary.csv
battleground.map,512,0.6480255126953125,ablation_no_adaptive,30,1,0.4247233329806477,0.2313775545472329,5.878181772169503,0.0666666666666666,6.033333333333333,exp_fix15_wc3_v1_summary.csv
battleground.map,512,0.6480255126953125,ablation_no_smoothing,30,1,0.5318733359066149,0.2760177995518666,6.137902832994921,1.1333333333333333,7.333333333333333,exp_fix15_wc3_v1_summary.csv
blastedlands.map,512,0.4987373352050781,dijkstra,30,1,5.561256669655752,5.111318749075522,6.2398653164297775,0.9333333333333332,121.76666666666668,exp_fix15_wc3_v1_summary.csv
blastedlands.map,512,0.4987373352050781,astar,30,1,0.5534666658301527,0.370186498700319,6.2398653164297775,1.2333333333333334,8.766666666666667,exp_fix15_wc3_v1_summary.csv
