algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id
dijkstra,1,14.828427124746192,4,0.6694999756291509,221,random_generated,20,0.3,0,0
astar,1,14.828427124746192,4,0.12019998393952847,31,random_generated,20,0.3,0,0
weighted_astar,1,15.071067811865477,5,0.07280000136233866,20,random_generated,20,0.3,0,0
jps_like,1,18.242640687119287,6,0.4406000080052763,77,random_generated,20,0.3,0,0
improved_astar,1,15.99070478491457,3,0.367900007404387,68,random_generated,20,0.3,0,0
dijkstra,1,12.485281374238571,5,0.49169998965226114,184,random_generated,20,0.3,1,1
astar,1,12.485281374238571,3,0.050300004659220576,11,random_generated,20,0.3,1,1
weighted_astar,1,12.485281374238571,2,0.046600005589425564,11,random_generated,20,0.3,1,1
jps_like,1,16.242640687119284,7,0.31779997516423464,46,random_generated,20,0.3,1,1
improved_astar,1,15.497365151260954,4,0.1871999993454665,26,random_generated,20,0.3,1,1
dijkstra,1,6.65685424949238,1,0.27329998556524515,79,random_generated,20,0.3,2,2
astar,1,6.656854249492381,2,0.02929999027401209,6,random_generated,20,0.3,2,2
weighted_astar,1,6.656854249492381,2,0.0261999957729131,6,random_generated,20,0.3,2,2
jps_like,1,7.82842712474619,5,0.08769999840296805,11,random_generated,20,0.3,2,2
improved_astar,1,6.433978400210179,1,0.0754999928176403,9,random_generated,20,0.3,2,2
dijkstra,1,17.899494936611667,7,0.6155000010039657,223,random_generated,20,0.3,3,3
astar,1,17.899494936611667,9,0.1500000071246177,41,random_generated,20,0.3,3,3
weighted_astar,1,17.899494936611667,9,0.08659999002702534,24,random_generated,20,0.3,3,3
jps_like,1,25.071067811865476,11,0.8092999923974276,141,random_generated,20,0.3,3,3
improved_astar,1,24.102916426724942,6,0.7339000003412366,125,random_generated,20,0.3,3,3
dijkstra,1,18.899494936611667,5,0.7142999966163188,213,random_generated,20,0.3,4,4
astar,1,18.899494936611667,7,0.16799999866634607,38,random_generated,20,0.3,4,4
weighted_astar,1,20.55634918610405,6,0.11759999324567616,27,random_generated,20,0.3,4,4
jps_like,0,nan,nan,0.3299000090919435,56,random_generated,20,0.3,4,4
improved_astar,0,nan,nan,0.3237999917473644,56,random_generated,20,0.3,4,4
dijkstra,1,3.82842712474619,2,0.11509997420944273,35,random_generated,20,0.3,5,5
astar,1,3.82842712474619,2,0.01930000144056976,4,random_generated,20,0.3,5,5
weighted_astar,1,3.82842712474619,2,0.01680001150816679,4,random_generated,20,0.3,5,5
jps_like,1,9.0,3,0.23120001424103975,31,random_generated,20,0.3,5,5
improved_astar,1,9.0,2,0.22360001457855105,29,random_generated,20,0.3,5,5
dijkstra,1,13.242640687119284,5,0.4568000149447471,148,random_generated,20,0.3,6,6
astar,1,13.242640687119284,5,0.0866000191308558,23,random_generated,20,0.3,6,6
weighted_astar,1,13.242640687119284,4,0.05560001591220498,15,random_generated,20,0.3,6,6
jps_like,1,14.65685424949238,5,0.21120000747032464,29,random_generated,20,0.3,6,6
improved_astar,1,13.3107063534813,2,0.13000000035390258,16,random_generated,20,0.3,6,6
dijkstra,1,3.414213562373095,2,0.09499999578110874,27,random_generated,20,0.3,7,7
astar,1,3.414213562373095,1,0.021100015146657825,5,random_generated,20,0.3,7,7
weighted_astar,1,3.414213562373095,1,0.016000005416572094,4,random_generated,20,0.3,7,7
jps_like,1,4.0,2,0.036699988413602114,5,random_generated,20,0.3,7,7
improved_astar,1,3.1622776601683795,0,0.02950002090074122,4,random_generated,20,0.3,7,7
dijkstra,1,14.65685424949238,4,1.2285000120755285,234,random_generated,20,0.3,8,8
astar,1,14.65685424949238,4,0.12539999443106353,28,random_generated,20,0.3,8,8
weighted_astar,1,14.65685424949238,4,0.08259998867288232,18,random_generated,20,0.3,8,8
jps_like,1,16.071067811865476,8,0.3921000170521438,46,random_generated,20,0.3,8,8
improved_astar,1,15.666309392482717,3,0.18649999401532114,23,random_generated,20,0.3,8,8
dijkstra,1,13.656854249492383,5,0.3711000026669353,114,random_generated,20,0.3,9,9
astar,1,13.656854249492383,5,0.15810001059435308,36,random_generated,20,0.3,9,9
weighted_astar,1,13.656854249492383,4,0.07919999188743532,18,random_generated,20,0.3,9,9
jps_like,0,nan,nan,0.7778000144753605,122,random_generated,20,0.3,9,9
improved_astar,0,nan,nan,0.7869999972172081,122,random_generated,20,0.3,9,9
dijkstra,1,15.899494936611669,3,0.5827999848406762,196,random_generated,20,0.3,10,10
astar,1,15.899494936611669,3,0.10260002454742789,23,random_generated,20,0.3,10,10
