candidate,dataset,map_name,size,ratio,alpha,success,runtime_ms,path_length,turn_count,expanded_nodes
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.08369999704882503,3.0,0,2
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.06160000339150429,2.23606797749979,0,3
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.03480000304989517,2.0,0,2
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.031899980967864394,1.4142135623730951,0,2
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.059699988923966885,3.605551275463989,0,3
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.02239999594166875,2.0,0,2
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.07069998537190259,2.23606797749979,0,3
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.053099996875971556,3.605551275463989,0,3
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.040300015825778246,3.605551275463989,0,3
fixed_1.2,dao,arena.map,49,0.1445231153685964,1.2,1,0.040300015825778246,3.1622776601683795,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.052799994591623545,3.605551275463989,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.05220001912675798,3.1622776601683795,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.037699996028095484,2.23606797749979,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.04959999932907522,2.23606797749979,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.04849999095313251,3.605551275463989,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.05540001438930631,2.23606797749979,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.05469997995533049,3.605551275463989,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.05020000389777124,2.23606797749979,0,3
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.029600021662190557,1.0,0,2
fixed_1.2,dao,arena2.map,281,0.5860477787805003,1.2,1,0.020799983758479357,1.0,0,2
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.029999995604157448,2.0,0,2
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.029699993319809437,2.0,0,2
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.05469997995533049,2.23606797749979,0,3
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.05269999383017421,2.23606797749979,0,3
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.050700007705017924,3.1622776601683795,0,3
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.05390000296756625,3.605551275463989,0,3
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.04420001641847193,1.4142135623730951,0,2
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.029600021662190557,2.0,0,2
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.030800001695752144,1.0,0,2
fixed_1.2,street,Berlin_0_1024.map,1024,0.24206924438476562,1.2,1,0.030099996365606785,1.4142135623730951,0,2
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.02120001590810716,1.4142135623730951,0,2
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.030399998649954796,3.0,0,2
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.03290001768618822,2.23606797749979,0,3
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.02929999027401209,2.0,0,2
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.028799986466765404,3.0,0,2
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.04889999399892986,2.23606797749979,0,3
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.050700007705017924,3.1622776601683795,0,3
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.13689999468624592,3.1622776601683795,0,3
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.05490001058205962,3.1622776601683795,0,3
fixed_1.2,street,Berlin_0_256.map,256,0.2653350830078125,1.2,1,0.03159997868351638,2.0,0,2
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,527.2213999996893,1364.3012465468482,7,28068
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,4.076499986695126,463.96228294981046,0,133
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,1290.0971999915782,1912.7654443047868,13,60640
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,6.501700001535937,728.4126577703054,0,193
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,4629.786899982719,2516.27057452948,7,186300
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,1747.2789000021294,850.8656395336792,5,78940
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,4.673799994634464,586.7069114984074,0,161
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,8.364299981622025,1168.3646690995067,0,360
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,11.555700009921566,1149.6803903694279,0,327
fixed_1.2,weighted,Map1.map,2048,0.033130645751953125,1.2,1,26.552700001047924,1522.4692152892974,1,988
