场景,障碍率,传统A*路径长度,改进A*路径长度,传统A*转弯数,改进A*转弯数,传统A*运行时间(ms),改进A*运行时间(ms)
30x30,0.2222,41.598,41.136,4,2,0.281,0.167
50x50,0.2304,70.468,69.445,6,4,0.457,0.28
