map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
Berlin_0_1024.map,1024,0.24206924438476562,dijkstra,30,1,4.3681500004216405,4.202398703908921,6.064129385141706,0.7666666666666667,135.76666666666668
Berlin_0_1024.map,1024,0.24206924438476562,astar,30,1,0.4134533315664157,0.31609311939983686,6.064129385141706,0.9333333333333333,8.066666666666666
Berlin_0_1024.map,1024,0.24206924438476562,weighted_astar,30,1,0.3023466619197279,0.18562901118838987,6.064129385141706,0.6,6.166666666666667
Berlin_0_1024.map,1024,0.24206924438476562,improved_astar,30,1,0.3994299991366764,0.20901925875505312,5.829731760782374,0,6.166666666666667
Berlin_0_1024.map,1024,0.24206924438476562,ablation_no_adaptive,30,1,0.28423333424143493,0.17427909339084616,5.829731760782374,0,6.166666666666667
Berlin_0_1024.map,1024,0.24206924438476562,ablation_no_smoothing,30,1,0.4025700007332489,0.20925324260904224,6.064129385141706,0.6,6.166666666666667
Berlin_0_256.map,256,0.2653350830078125,dijkstra,30,1,2.5367800020224727,2.4302044834974788,6.206531983096444,0.9333333333333333,113.36666666666666
Berlin_0_256.map,256,0.2653350830078125,astar,30,1,0.2611199995347609,0.16415763322001634,6.206531983096444,1.3333333333333333,7.933333333333334
Berlin_0_256.map,256,0.2653350830078125,weighted_astar,30,1,0.21304999924420068,0.111023571495249,6.206531983096444,0.7333333333333333,6.433333333333334
Berlin_0_256.map,256,0.2653350830078125,improved_astar,30,1,0.23077333559437344,0.11379032892499034,5.89576920504348,0.03333333333333333,6.433333333333334
Berlin_0_256.map,256,0.2653350830078125,ablation_no_adaptive,30,1,0.22828333312645555,0.11268620204145854,5.89576920504348,0.03333333333333333,6.433333333333334
Berlin_0_256.map,256,0.2653350830078125,ablation_no_smoothing,30,1,0.2709899941692129,0.20095666132853815,6.206531983096444,0.7333333333333333,6.433333333333334
Berlin_0_512.map,512,0.24977493286132812,dijkstra,30,1,4.166830003183956,3.749505267048615,5.797462718475039,0.8,115.5
Berlin_0_512.map,512,0.24977493286132812,astar,30,1,0.42158666571291786,0.31906753051728004,5.797462718475039,0.8333333333333334,7.566666666666666
Berlin_0_512.map,512,0.24977493286132812,weighted_astar,30,1,0.3452166633602853,0.25488489279115284,5.79746271847504,0.7,5.9
Berlin_0_512.map,512,0.24977493286132812,improved_astar,30,1,0.39582000172231346,0.21417102631305796,5.53040481219267,0,5.9
Berlin_0_512.map,512,0.24977493286132812,ablation_no_adaptive,30,1,0.3250833290318648,0.17213168972571605,5.53040481219267,0,5.9
Berlin_0_512.map,512,0.24977493286132812,ablation_no_smoothing,30,1,0.3901400011576091,0.18207242185555475,5.79746271847504,0.7,5.9
Berlin_1_1024.map,1024,0.2377176284790039,dijkstra,30,1,4.27358999925976,4.010566294623554,6.043215485209388,0.9,142
Berlin_1_1024.map,1024,0.2377176284790039,astar,30,1,0.36875333268350613,0.2725306502039776,6.043215485209388,1.2,8.066666666666666
Berlin_1_1024.map,1024,0.2377176284790039,weighted_astar,30,1,0.28980666926751536,0.18266283085888346,6.043215485209389,0.6333333333333333,6.366666666666666
Berlin_1_1024.map,1024,0.2377176284790039,improved_astar,30,1,0.34381666337139904,0.16622028884234918,5.735857026598241,0,6.366666666666666
Berlin_1_1024.map,1024,0.2377176284790039,ablation_no_adaptive,30,1,0.27231333175829303,0.17566438482259536,5.735857026598241,0,6.366666666666666
Berlin_1_1024.map,1024,0.2377176284790039,ablation_no_smoothing,30,1,0.37766666791867465,0.17847523642264984,6.043215485209389,0.6333333333333333,6.366666666666666
Berlin_1_256.map,256,0.27459716796875,dijkstra,30,1,2.229176668333821,1.8274998871053414,5.91462000600042,0.9333333333333333,106.43333333333334
Berlin_1_256.map,256,0.27459716796875,astar,30,1,0.2798499995454525,0.21244919298252332,5.91462000600042,1.0333333333333334,6.933333333333334
Berlin_1_256.map,256,0.27459716796875,weighted_astar,30,1,0.21998666634317487,0.14419571807640297,5.91462000600042,0.8666666666666667,6.1
Berlin_1_256.map,256,0.27459716796875,improved_astar,30,1,0.2395400011058276,0.16033450285345024,5.595439567924114,0,6.1
Berlin_1_256.map,256,0.27459716796875,ablation_no_adaptive,30,1,0.20701999795467904,0.10140752184575416,5.595439567924114,0,6.1
Berlin_1_256.map,256,0.27459716796875,ablation_no_smoothing,30,1,0.22686333298527947,0.11912697566072816,5.91462000600042,0.8666666666666667,6.1
