algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id,seed_tag
jps_like,1,10.48528137423857,5,0.2352000010432675,10,20,0.3,15,15,42
improved_astar,1,10.06449510224598,2,0.080600002547726,7,20,0.3,15,15,42
dijkstra,1,13.071067811865476,8,0.7538000063505024,192,20,0.3,16,16,42
astar,1,13.071067811865476,8,0.0904000044101849,20,20,0.3,16,16,42
weighted_astar,1,13.071067811865476,8,0.0555999868083745,13,20,0.3,16,16,42
jps_like,1,13.071067811865476,8,0.1563999976497143,20,20,0.3,16,16,42
improved_astar,1,11.21110255092798,2,0.1058999914675951,13,20,0.3,16,16,42
dijkstra,1,8.0,0,0.1722999877529218,49,20,0.3,17,17,42
astar,1,8.0,0,0.0447999918833375,9,20,0.3,17,17,42
weighted_astar,1,8.0,0,0.0410000066040083,9,20,0.3,17,17,42
jps_like,1,8.0,1,0.0882000022102147,9,20,0.3,17,17,42
improved_astar,1,8.0,0,0.0421000004280358,4,20,0.3,17,17,42
dijkstra,1,4.82842712474619,3,0.1757999998517334,48,20,0.3,18,18,42
astar,1,4.82842712474619,3,0.0290000025415793,6,20,0.3,18,18,42
weighted_astar,1,4.82842712474619,3,0.0233000027947127,5,20,0.3,18,18,42
jps_like,1,4.82842712474619,3,0.0608999980613589,6,20,0.3,18,18,42
improved_astar,1,4.47213595499958,1,0.0527000083820894,5,20,0.3,18,18,42
dijkstra,1,17.899494936611667,7,0.4850999976042658,151,20,0.3,19,19,42
astar,1,17.899494936611667,9,0.1672999933362007,43,20,0.3,19,19,42
weighted_astar,1,17.899494936611667,9,0.1432999997632578,37,20,0.3,19,19,42
jps_like,1,17.899494936611667,7,0.3075999993598088,43,20,0.3,19,19,42
improved_astar,1,13.837882267736523,6,0.3104999923380092,46,20,0.3,19,19,42
dijkstra,1,17.142135623730955,3,0.6111999973654747,194,20,0.3,20,20,42
astar,1,17.142135623730955,5,0.0903999898582696,19,20,0.3,20,20,42
weighted_astar,1,17.142135623730955,5,0.0694999907864257,14,20,0.3,20,20,42
jps_like,1,17.142135623730947,4,0.1782000035746023,19,20,0.3,20,20,42
improved_astar,1,16.411799750329685,2,0.0939000019570812,9,20,0.3,20,20,42
dijkstra,1,18.899494936611667,12,0.8192999957827851,250,20,0.3,21,21,42
astar,1,18.899494936611667,11,0.1799000019673258,32,20,0.3,21,21,42
weighted_astar,1,18.899494936611667,11,0.1332999963779002,20,20,0.3,21,21,42
