map,variant,n,runtime_mean,runtime_std,path_len_mean,path_len_std,turns_mean,turns_std,nodes_mean
8room_000,Full (Ours),30,4.898815328488126,4.8268001121103365,65.00017188656557,24.85905390444771,11.366666666666667,5.056239270006469,283.3
8room_000,w/o Adaptive,30,14.543260736778999,10.647246374995685,64.05835059684294,24.254996793693916,10.666666666666666,4.292111627418633,896.5
8room_000,w/o JPS-like,30,2.0830302052975944,1.9028800995177586,64.31746117162115,24.60276541068231,10.9,4.422292015082978,296.3333333333333
8room_000,w/o Smooth,30,4.643399175256491,4.506040714842054,75.4812289025486,28.770800082284836,24.333333333333332,9.403309110213394,283.3
8room_000,Traditional A*,30,6.200986431213096,4.511520879987693,71.8157118320621,26.509862210583606,17.866666666666667,7.126164622166836,899.9333333333333
16room_000,Full (Ours),30,5.265621161864449,5.293555908948623,58.856932754134,26.770929611901547,5.633333333333334,2.971905486757986,282.76666666666665
16room_000,w/o Adaptive,30,14.48270403003941,13.815989195456982,58.0652292180364,26.233798632006184,5.366666666666666,2.4287628309262494,825.4
16room_000,w/o JPS-like,30,2.313944468429933,2.1801022306516296,58.487801473134674,26.74474490221673,5.333333333333333,2.7243755655603397,305.26666666666665
16room_000,w/o Smooth,30,5.24709692884547,5.347604457986011,68.92322505687599,30.88047815915833,14.666666666666666,6.461853879155389,282.76666666666665
16room_000,Traditional A*,30,5.840281835601975,5.493319086208618,66.08254685319156,29.242670212262592,10.266666666666667,4.146752410689063,834.2666666666667
32room_000,Full (Ours),30,8.0578159308061,8.002643657922038,64.45618027517835,30.69057703239102,3.1,1.9209372712298545,388.5
32room_000,w/o Adaptive,30,18.20308492751792,19.414538283568376,63.50350657197924,29.449100066435854,3.1,1.9553345834749953,929.7
32room_000,w/o JPS-like,30,3.2363533954291293,3.3774407337053636,63.63974243648258,30.12006811360814,2.9,1.7767010628315238,410.3333333333333
32room_000,w/o Smooth,30,7.813311835828547,7.797834543574753,76.11693116294411,36.52532993791899,12.233333333333333,6.442997921947687,388.5
32room_000,Traditional A*,30,7.089650638711949,7.6336691268674635,71.44782583451348,33.29557021072793,8.1,4.044337605426464,954.0666666666667
maze512-1-0,Full (Ours),30,5.179864162346348,5.76312472466414,106.10314920232857,93.18390360943731,41.03333333333333,37.425021338968165,621.4
maze512-1-0,w/o Adaptive,30,4.8012814989003045,5.539338042250407,106.109087388491,93.17981404865687,41.06666666666667,37.404040185817124,580.6
maze512-1-0,w/o JPS-like,30,2.641640203849723,2.9594491811970562,106.10314920232857,93.18390360943731,41.03333333333333,37.425021338968165,621.4
maze512-1-0,w/o Smooth,30,5.130542438322057,6.112822443917489,121.6634679318739,106.24038707979794,49.233333333333334,44.04973199565338,621.4
maze512-1-0,Traditional A*,30,2.585885807638988,3.0542228210494082,121.663467931874,106.24038707979811,43.2,38.46851526465074,581.2666666666667
