map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
arena.map,49,0.1445231153685964,dijkstra,30,1,2.535573332958544,2.353360576983876,5.960779216362095,1.0333333333333334,105.93333333333334
arena.map,49,0.1445231153685964,astar,30,1,0.26128667038089287,0.16072018644646363,5.960779216362095,1.1666666666666667,6.933333333333334
arena.map,49,0.1445231153685964,weighted_astar,30,1,0.22368666638309756,0.10905455583195861,5.960779216362095,0.8666666666666667,5.966666666666667
arena.map,49,0.1445231153685964,improved_astar,30,1,0.22773000140053531,0.11642350931991212,5.659387215784249,0.06666666666666667,5.966666666666667
arena.map,49,0.1445231153685964,ablation_no_adaptive,30,1,0.22762999966895828,0.1536930444838486,5.659387215784249,0.06666666666666667,5.966666666666667
arena.map,49,0.1445231153685964,ablation_no_smoothing,30,1,0.23234999971464276,0.1097251497063731,5.960779216362095,0.8666666666666667,5.966666666666667
arena2.map,281,0.5860477787805003,dijkstra,30,1,2.6535533339483663,2.167018206141983,6.391743622633245,0.9,126.36666666666666
arena2.map,281,0.5860477787805003,astar,30,1,0.31332333261768025,0.256652428642694,6.391743622633245,1.3666666666666667,8.666666666666666
arena2.map,281,0.5860477787805003,weighted_astar,30,1,0.219766665638114,0.1192990069194333,6.391743622633246,0.9,6.7
arena2.map,281,0.5860477787805003,improved_astar,30,1,0.30086667005283135,0.2030851206016766,6.133454831958846,0.1,8.666666666666666
arena2.map,281,0.5860477787805003,ablation_no_adaptive,30,1,0.22203999978955835,0.12124307337588351,6.132690996916974,0.1,6.7
arena2.map,281,0.5860477787805003,ablation_no_smoothing,30,1,0.30122999936187017,0.21426923510868093,6.391743622633245,1.3666666666666667,8.666666666666666
brc000d.map,261,0.5682126511322808,dijkstra,30,1,2.9954000007516393,3.2581756688639083,6.222708028904396,0.9333333333333333,121.76666666666667
brc000d.map,261,0.5682126511322808,astar,30,1,0.2768600049118201,0.20082050485422928,6.222708028904396,1.2333333333333334,7.3
brc000d.map,261,0.5682126511322808,weighted_astar,30,1,0.2276733323621253,0.16348493035638256,6.222708028904396,0.9333333333333333,6.533333333333333
brc000d.map,261,0.5682126511322808,improved_astar,30,1,0.27240000005501014,0.20025195029134332,5.894137847430445,0.1,7.3
brc000d.map,261,0.5682126511322808,ablation_no_adaptive,30,1,0.2601799991680309,0.18087009525557898,5.891238809168276,0.1,6.533333333333333
brc000d.map,261,0.5682126511322808,ablation_no_smoothing,30,1,0.2372300000085185,0.15071663047433556,6.222708028904396,1.2333333333333334,7.3
brc100d.map,512,0.8768459413109756,dijkstra,30,1,3.740356665609094,2.9167234946934313,6.138884074712348,0.8666666666666667,114.36666666666666
brc100d.map,512,0.8768459413109756,astar,30,1,0.406446663934427,0.20085233658896412,6.138884074712348,1,7.8
brc100d.map,512,0.8768459413109756,weighted_astar,30,1,0.3295033297035843,0.1505175320102122,6.138884074712349,0.7,6.2
brc100d.map,512,0.8768459413109756,improved_astar,30,1,0.4843700017469625,0.3254597688757922,5.819984521346584,0,7.8
brc100d.map,512,0.8768459413109756,ablation_no_adaptive,30,1,0.33486333462254453,0.15995328615585797,5.819984521346584,0,6.2
brc100d.map,512,0.8768459413109756,ablation_no_smoothing,30,1,0.5088199987464274,0.44497343597162436,6.138884074712348,1,7.8
brc101d.map,639,0.8782195487741262,dijkstra,30,1,2.0543266679548347,1.7010869732778278,6.052691193458118,1.0666666666666667,110.5
brc101d.map,639,0.8782195487741262,astar,30,1,0.28153999883215874,0.2249598766884816,6.052691193458118,1.3666666666666667,8.8
brc101d.map,639,0.8782195487741262,weighted_astar,30,1,0.20380000253984085,0.15812949221631048,6.052691193458119,0.7666666666666667,6.1
brc101d.map,639,0.8782195487741262,improved_astar,30,1,0.24149666617934903,0.14346793885669903,5.718481607708424,0,8.8
brc101d.map,639,0.8782195487741262,ablation_no_adaptive,30,1,0.18194333533756435,0.07995999780484568,5.718481607708424,0,6.1
brc101d.map,639,0.8782195487741262,ablation_no_smoothing,30,1,0.2627500003048529,0.20490972964288598,6.052691193458118,1.3666666666666667,8.8
