map_name,map_type,size,ratio,run_id,algorithm,success,runtime_ms,path_length,turn_count,expanded_nodes
Berlin_0_256.map,street,256,0.2653350830078125,0,dijkstra,1,166.7081830019015,199.2670273047591,5,37747
Berlin_0_256.map,street,256,0.2653350830078125,0,astar,1,16.650196997943567,199.2670273047591,13,3110
Berlin_0_256.map,street,256,0.2653350830078125,0,weighted_astar,1,6.6796869978134055,213.35028842544438,41,1122
Berlin_0_256.map,street,256,0.2653350830078125,0,improved_astar,1,5.683645002136473,188.79969406361147,3,977
Berlin_0_256.map,street,256,0.2653350830078125,0,ablation_no_adaptive,1,17.188984998938395,188.79969406361147,3,3110
Berlin_0_256.map,street,256,0.2653350830078125,0,ablation_no_smoothing,1,5.721495999750914,219.97770542341397,52,977
Berlin_0_256.map,street,256,0.2653350830078125,1,dijkstra,1,176.70944999917992,215.5634918610406,13,36100
Berlin_0_256.map,street,256,0.2653350830078125,1,astar,1,80.3415699992911,215.56349186104063,25,10708
Berlin_0_256.map,street,256,0.2653350830078125,1,weighted_astar,1,57.93230500057689,215.56349186104094,10,6699
Berlin_0_256.map,street,256,0.2653350830078125,1,improved_astar,1,46.364377998543205,200.2495933484355,6,4451
Berlin_0_256.map,street,256,0.2653350830078125,1,ablation_no_adaptive,1,83.73830200071097,201.81487621961753,5,10708
Berlin_0_256.map,street,256,0.2653350830078125,1,ablation_no_smoothing,1,30.03699799955939,215.56349186104094,14,4451
Berlin_0_256.map,street,256,0.2653350830078125,2,dijkstra,1,27.968046997557394,84.71067811865466,5,7255
Berlin_0_256.map,street,256,0.2653350830078125,2,astar,1,1.5441200011991896,84.71067811865466,4,301
Berlin_0_256.map,street,256,0.2653350830078125,2,weighted_astar,1,0.4620119980245363,84.7106781186547,1,65
Berlin_0_256.map,street,256,0.2653350830078125,2,improved_astar,1,0.4834280007344205,81.21576201698781,0,65
Berlin_0_256.map,street,256,0.2653350830078125,2,ablation_no_adaptive,1,1.590245999977924,81.21576201698781,0,301
Berlin_0_256.map,street,256,0.2653350830078125,2,ablation_no_smoothing,1,0.6982459999562707,84.7106781186547,1,65
Berlin_0_256.map,street,256,0.2653350830078125,3,dijkstra,1,128.28407200140646,194.58073580374366,52,28722
Berlin_0_256.map,street,256,0.2653350830078125,3,astar,1,48.74281899901689,194.58073580374372,47,8208
Berlin_0_256.map,street,256,0.2653350830078125,3,weighted_astar,1,48.12807700000121,202.03657992645955,54,7819
Berlin_0_256.map,street,256,0.2653350830078125,3,improved_astar,1,44.08232199784834,173.97330270202724,4,7576
Berlin_0_256.map,street,256,0.2653350830078125,3,ablation_no_adaptive,1,44.25887400066131,172.3363891269544,8,8208
Berlin_0_256.map,street,256,0.2653350830078125,3,ablation_no_smoothing,1,43.23305700017954,205.35028842544435,62,7576
Berlin_0_256.map,street,256,0.2653350830078125,4,dijkstra,1,120.16957900050329,221.46298679765246,36,28624
Berlin_0_256.map,street,256,0.2653350830078125,4,astar,1,30.761260000872426,221.46298679765246,39,6792
Berlin_0_256.map,street,256,0.2653350830078125,4,weighted_astar,1,33.58982400095556,222.29141392239876,34,5695
Berlin_0_256.map,street,256,0.2653350830078125,4,improved_astar,1,29.050192999420688,209.39347366616408,11,5365
Berlin_0_256.map,street,256,0.2653350830078125,4,ablation_no_adaptive,1,31.447920999198686,210.11805173585168,14,6792
Berlin_0_256.map,street,256,0.2653350830078125,4,ablation_no_smoothing,1,29.32150500055286,223.9482681718912,41,5365
Berlin_0_256.map,street,256,0.2653350830078125,5,dijkstra,1,156.62330399936764,206.65180361560928,13,37665
Berlin_0_256.map,street,256,0.2653350830078125,5,astar,1,17.34962699993048,206.65180361560928,18,3738
Berlin_0_256.map,street,256,0.2653350830078125,5,weighted_astar,1,7.023373000265565,209.1370849898479,47,1277
Berlin_0_256.map,street,256,0.2653350830078125,5,improved_astar,1,5.295520997606218,194.71526113199988,6,922
Berlin_0_256.map,street,256,0.2653350830078125,5,ablation_no_adaptive,1,17.022602001816267,189.92735263585183,6,3738
Berlin_0_256.map,street,256,0.2653350830078125,5,ablation_no_smoothing,1,5.2207599983375985,214.93607486307127,56,922
Berlin_0_256.map,street,256,0.2653350830078125,6,dijkstra,1,24.637578000692884,56.32590180780448,3,6409
Berlin_0_256.map,street,256,0.2653350830078125,6,astar,1,0.5140569992363453,56.32590180780448,2,54
Berlin_0_256.map,street,256,0.2653350830078125,6,weighted_astar,1,0.2884440000343602,56.32590180780449,1,42
Berlin_0_256.map,street,256,0.2653350830078125,6,improved_astar,1,0.30331200105138123,55.226805085936306,0,42
Berlin_0_256.map,street,256,0.2653350830078125,6,ablation_no_adaptive,1,0.3887370003212709,55.226805085936306,0,54
Berlin_0_256.map,street,256,0.2653350830078125,6,ablation_no_smoothing,1,0.2749439991021063,56.32590180780449,1,42
Berlin_0_256.map,street,256,0.2653350830078125,7,dijkstra,1,118.97514399970532,254.1787155501907,51,29657
Berlin_0_256.map,street,256,0.2653350830078125,7,astar,1,44.015713003318524,254.1787155501907,69,7787
Berlin_0_256.map,street,256,0.2653350830078125,7,weighted_astar,1,28.570075002789963,257.4924240491755,88,5043
Berlin_0_256.map,street,256,0.2653350830078125,7,improved_astar,1,16.653106002195273,238.4688739411151,10,3082
Berlin_0_256.map,street,256,0.2653350830078125,7,ablation_no_adaptive,1,44.06053999991855,234.17445863920557,10,7787
Berlin_0_256.map,street,256,0.2653350830078125,7,ablation_no_smoothing,1,17.273964997002622,261.63455967290645,95,3082
Berlin_0_256.map,street,256,0.2653350830078125,8,dijkstra,1,150.86948300086078,164.3380951166243,13,34297
Berlin_0_256.map,street,256,0.2653350830078125,8,astar,1,38.04734799996368,164.3380951166243,29,7582
Berlin_0_256.map,street,256,0.2653350830078125,8,weighted_astar,1,30.268652000813745,164.3380951166243,45,5742
Berlin_0_256.map,street,256,0.2653350830078125,8,improved_astar,1,27.276329998130677,150.1628351492525,10,5022
Berlin_0_256.map,street,256,0.2653350830078125,8,ablation_no_adaptive,1,37.50189499987755,149.7143986099997,8,7582
Berlin_0_256.map,street,256,0.2653350830078125,8,ablation_no_smoothing,1,25.43792299911729,164.3380951166243,53,5022
Berlin_0_256.map,street,256,0.2653350830078125,9,dijkstra,1,148.2154020013695,165.88225099390866,14,35770
Berlin_0_256.map,street,256,0.2653350830078125,9,astar,1,17.15017699825694,165.88225099390866,20,3844
Berlin_0_256.map,street,256,0.2653350830078125,9,weighted_astar,1,16.761372000473784,173.33809511662446,38,3121
Berlin_0_256.map,street,256,0.2653350830078125,9,improved_astar,1,12.5705550017301,149.2505629504601,3,2316
