map_name,map_type,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean,source
arena.map,dao,49,0.1445231153685964,dijkstra,30,1.0,3.7566669331378457,2.0883872368026637,25.55414861350464,3,1029.4,exp_fix15_v2
arena.map,dao,49,0.1445231153685964,astar,30,1.0,0.3715907330236708,0.32090308505933,25.55414861350464,2.8333333333333335,71.96666666666667,exp_fix15_v2
arena.map,dao,49,0.1445231153685964,weighted_astar,30,1.0,0.142755266764046,0.0624539522918026,25.636991325979263,1.6666666666666667,23.333333333333332,exp_fix15_v2
arena.map,dao,49,0.1445231153685964,improved_astar,30,1.0,0.14223763294770228,0.06189825110385995,24.28289577207596,0.36666666666666664,23.066666666666666,exp_fix15_v2
arena.map,dao,49,0.1445231153685964,ablation_no_adaptive,30,1.0,0.36290676665278926,0.308775163539707,24.156612609631825,0.4,71.96666666666667,exp_fix15_v2
arena.map,dao,49,0.1445231153685964,ablation_no_smoothing,30,1.0,0.1454965002873602,0.0627339182283194,25.69221980096234,1.8666666666666667,23.066666666666666,exp_fix15_v2
arena2.map,dao,209,0.5860477787805003,dijkstra,30,1.0,47.66585049983405,27.571260581000494,123.10573106042507,7.366666666666666,12458.033333333333,exp_fix15_v2
arena2.map,dao,209,0.5860477787805003,astar,30,1.0,11.677123400052855,14.486351937690012,123.10573106042509,9.2,2347.6,exp_fix15_v2
arena2.map,dao,209,0.5860477787805003,weighted_astar,30,1.0,8.098646833362485,10.67660496820411,124.8925684744712,15.333333333333334,1620.8,exp_fix15_v2
arena2.map,dao,209,0.5860477787805003,improved_astar,30,1.0,11.597849766379417,14.430142314399069,114.96754823109154,3.8666666666666667,2347.6,exp_fix15_v2
arena2.map,dao,209,0.5860477787805003,ablation_no_adaptive,30,1.0,11.565554666716102,14.428069939867786,114.96754823109154,3.8666666666666667,2347.6,exp_fix15_v2
arena2.map,dao,209,0.5860477787805003,ablation_no_smoothing,30,1.0,11.591455800225958,14.38429369378747,123.10573106042509,9.2,2347.6,exp_fix15_v2
brc000d.map,dao,261,0.5682126511322808,dijkstra,30,1.0,50.12260136706269,34.98680180667831,105.86143571373724,9.166666666666666,12951.8,exp_fix15_v2
brc000d.map,dao,261,0.5682126511322808,astar,30,1.0,8.66095356674729,14.31250960347348,105.86143571373724,10.333333333333334,1721.9333333333334,exp_fix15_v2
brc000d.map,dao,261,0.5682126511322808,weighted_astar,30,1.0,4.3627631331522325,12.022306882184225,107.56208024652912,12.833333333333334,865.8333333333334,exp_fix15_v2
brc000d.map,dao,261,0.5682126511322808,improved_astar,30,1.0,8.57719773290834,14.09064255740315,100.25519777251868,3.7333333333333334,1721.9333333333334,exp_fix15_v2
brc000d.map,dao,261,0.5682126511322808,ablation_no_adaptive,30,1.0,8.515475333115319,14.087717322290027,100.25519777251868,3.7333333333333334,1721.9333333333334,exp_fix15_v2
brc000d.map,dao,261,0.5682126511322808,ablation_no_smoothing,30,1.0,8.708692899745074,14.70791515159455,105.86143571373724,10.333333333333334,1721.9333333333334,exp_fix15_v2
brc100d.map,dao,492,0.8768459413109756,dijkstra,30,1.0,71.28269916623442,43.192723680442526,207.04876127069602,24.966666666666665,14724.6,exp_fix15_v2
brc100d.map,dao,492,0.8768459413109756,astar,30,1.0,41.24262156692566,45.8681474551184,207.04876127069602,29.866666666666667,6265.233333333334,exp_fix15_v2
brc100d.map,dao,492,0.8768459413109756,weighted_astar,30,1.0,31.112838900420076,36.11422332671598,208.67800128269687,38.96666666666667,4907.866666666667,exp_fix15_v2
brc100d.map,dao,492,0.8768459413109756,improved_astar,30,1.0,40.39703116662471,44.306703477168504,195.2029467562528,10.966666666666667,6265.233333333334,exp_fix15_v2
brc100d.map,dao,492,0.8768459413109756,ablation_no_adaptive,30,1.0,38.99957916667821,40.18771220608133,195.2029467562528,10.966666666666667,6265.233333333334,exp_fix15_v2
brc100d.map,dao,492,0.8768459413109756,ablation_no_smoothing,30,1.0,40.22504429958644,42.67561444119926,207.04876127069602,29.866666666666667,6265.233333333334,exp_fix15_v2
brc101d.map,dao,639,0.8782195487741262,dijkstra,30,1.0,60.40377763286718,40.575774646039086,213.36534376013137,26.166666666666668,14074.666666666666,exp_fix15_v2
brc101d.map,dao,639,0.8782195487741262,astar,30,1.0,25.692376299775788,24.658447965664188,213.36534376013137,31.666666666666668,4335.833333333333,exp_fix15_v2
brc101d.map,dao,639,0.8782195487741262,weighted_astar,30,1.0,17.340814600417314,18.296189924078586,215.0436867076462,39.56666666666667,3049.8,exp_fix15_v2
brc101d.map,dao,639,0.8782195487741262,improved_astar,30,1.0,23.992994566894293,20.9556067410168,200.92895418362392,10.6,4335.833333333333,exp_fix15_v2
brc101d.map,dao,639,0.8782195487741262,ablation_no_adaptive,30,1.0,23.928867033464485,20.8701015586835,200.92895418362392,10.6,4335.833333333333,exp_fix15_v2
brc101d.map,dao,639,0.8782195487741262,ablation_no_smoothing,30,1.0,23.95810056720317,20.93585765934953,213.36534376013137,31.666666666666668,4335.833333333333,exp_fix15_v2
Berlin_0_256.map,street,256,0.2653350830078125,dijkstra,30,1.0,98.57138116676651,74.5961330259842,141.2358248093232,14.033333333333333,22104.666666666668,exp_fix15_v2
Berlin_0_256.map,street,256,0.2653350830078125,astar,30,1.0,21.083303966831107,23.067312664579905,141.2358248093232,16.1,3481.266666666667,exp_fix15_v2
Berlin_0_256.map,street,256,0.2653350830078125,weighted_astar,30,1.0,12.880011633630298,16.452060652387072,144.15623364586722,23.9,2111.8,exp_fix15_v2
Berlin_0_256.map,street,256,0.2653350830078125,improved_astar,30,1.0,9.81792806633166,12.847929116171189,133.16976908953237,4.7,1605.7333333333333,exp_fix15_v2
Berlin_0_256.map,street,256,0.2653350830078125,ablation_no_adaptive,30,1.0,20.03311346670671,21.9923699576666,132.45123213957305,4.366666666666666,3481.266666666667,exp_fix15_v2
Berlin_0_256.map,street,256,0.2653350830078125,ablation_no_smoothing,30,1.0,9.202986099141222,11.399811147488554,145.53694552044422,28.133333333333333,1605.7333333333333,exp_fix15_v2
Berlin_0_512.map,street,512,0.24977493286132812,dijkstra,30,1.0,425.13009039988293,307.1853712165826,285.0400406795838,20.9,87013.1,exp_fix15_v2
Berlin_0_512.map,street,512,0.24977493286132812,astar,30,1.0,87.56806536657677,112.37237353433306,285.0400406795838,24.7,14272.866666666667,exp_fix15_v2
Berlin_0_512.map,street,512,0.24977493286132812,weighted_astar,30,1.0,45.86805010064078,77.65671272168653,290.5615004925471,37.733333333333334,7205.866666666667,exp_fix15_v2
Berlin_0_512.map,street,512,0.24977493286132812,improved_astar,30,1.0,33.30963473320784,60.149913671201794,269.43006890816514,5.966666666666667,5147.533333333334,exp_fix15_v2
Berlin_0_512.map,street,512,0.24977493286132812,ablation_no_adaptive,30,1.0,87.67256136658641,112.43578135487726,267.90918944973515,5.633333333333334,14272.866666666667,exp_fix15_v2
Berlin_0_512.map,street,512,0.24977493286132812,ablation_no_smoothing,30,1.0,32.56947330022134,57.89286690491249,295.52536290346507,46.4,5147.533333333334,exp_fix15_v2
