map_name,map_type,size,ratio,run_id,algorithm,success,runtime_ms,path_length,turn_count,expanded_nodes
arena.map,dao,49,0.1445231153685964,0,dijkstra,1,6.611413999053184,38.04163056034261,2,1815
arena.map,dao,49,0.1445231153685964,0,astar,1,1.144275000115158,38.04163056034262,4,235
arena.map,dao,49,0.1445231153685964,0,weighted_astar,1,0.20402000154717825,38.041630560342625,1,32
arena.map,dao,49,0.1445231153685964,0,improved_astar,1,0.20127400057390332,35.96115433759373,1,32
arena.map,dao,49,0.1445231153685964,0,ablation_no_adaptive,1,1.0391409996373113,35.399084585403195,1,235
arena.map,dao,49,0.1445231153685964,0,ablation_no_smoothing,1,0.1986880015465431,38.041630560342625,1,32
arena.map,dao,49,0.1445231153685964,1,dijkstra,1,3.6692590001621284,18.970562748477146,1,934
arena.map,dao,49,0.1445231153685964,1,astar,1,0.20472699907259084,18.970562748477146,3,39
arena.map,dao,49,0.1445231153685964,1,weighted_astar,1,0.10226000085822307,18.970562748477146,1,15
arena.map,dao,49,0.1445231153685964,1,improved_astar,1,0.1052980005624704,18.439088914585774,0,15
arena.map,dao,49,0.1445231153685964,1,ablation_no_adaptive,1,0.22533899755217135,18.439088914585774,0,39
arena.map,dao,49,0.1445231153685964,1,ablation_no_smoothing,1,0.09936000060406514,18.970562748477146,1,15
arena.map,dao,49,0.1445231153685964,2,dijkstra,1,4.961531001754338,40.38477631085022,5,1410
arena.map,dao,49,0.1445231153685964,2,astar,1,0.8537950016034301,40.38477631085022,7,182
arena.map,dao,49,0.1445231153685964,2,weighted_astar,1,0.2105470011883881,41.21320343559643,7,36
arena.map,dao,49,0.1445231153685964,2,improved_astar,1,0.21075300173833966,38.63396300257591,2,36
arena.map,dao,49,0.1445231153685964,2,ablation_no_adaptive,1,0.8165020008163992,37.580258338270845,2,182
arena.map,dao,49,0.1445231153685964,2,ablation_no_smoothing,1,0.24232600117102265,41.21320343559643,7,36
arena.map,dao,49,0.1445231153685964,3,dijkstra,1,7.253859999764245,51.52691193458115,5,2006
arena.map,dao,49,0.1445231153685964,3,astar,1,0.9655120011302643,51.52691193458115,5,179
arena.map,dao,49,0.1445231153685964,3,weighted_astar,1,0.26161500136367977,51.52691193458119,3,43
arena.map,dao,49,0.1445231153685964,3,improved_astar,1,0.2697449999686796,48.40939982143925,1,43
arena.map,dao,49,0.1445231153685964,3,ablation_no_adaptive,1,0.9321219986304641,47.99440450486334,1,179
